t,	etaU
498.155,	2.21006
498.893,	1.84554
499.631,	1.4233
500.369,	1.25007
501.107,	1.48549
501.845,	1.8021
502.583,	1.97368
503.321,	2.02075
504.059,	1.98597
504.797,	1.96117
505.535,	2.05605
506.273,	2.30927
507.011,	2.65122
507.749,	2.8178
508.487,	2.5652
509.225,	1.92678
509.963,	1.2242
510.701,	0.913234
511.439,	1.26122
512.177,	2.0468
512.915,	2.62911
513.653,	2.66821
514.391,	2.39114
515.129,	2.29547
515.867,	2.50997
516.605,	2.60512
517.343,	2.32467
518.081,	2.02831
518.819,	2.23066
519.557,	2.85076
520.295,	3.37476
521.033,	3.43248
521.771,	3.1512
522.509,	2.92015
523.247,	2.7561
523.985,	2.37539
524.723,	1.97514
525.461,	1.98599
526.199,	2.32588
526.937,	2.5675
527.675,	2.28243
528.413,	1.68428
529.151,	1.62214
529.889,	2.26624
530.627,	2.8163
531.365,	2.66308
532.103,	1.90011
532.841,	1.07915
533.579,	0.794625
534.317,	0.953869
535.055,	1.0562
535.793,	0.909835
536.531,	0.598245
537.269,	0.558277
538.007,	1.10306
538.745,	1.77293
539.483,	1.98865
540.221,	1.71265
540.959,	1.43918
541.697,	1.7056
542.435,	2.15556
543.173,	2.24571
543.911,	2.13703
544.649,	2.27594
545.387,	2.70482
546.125,	2.88855
546.863,	2.55913
547.601,	2.05835
548.339,	1.70145
549.077,	1.4891
549.815,	1.23153
550.554,	0.928291
551.292,	0.771748
552.03,	0.777037
552.768,	0.829433
553.506,	0.973176
554.244,	1.26972
554.982,	1.46987
555.72,	1.41011
556.458,	1.21124
557.196,	0.977865
557.934,	0.803884
558.672,	0.697086
559.41,	0.693934
560.148,	0.872884
560.886,	1.02878
561.624,	1.02334
562.362,	0.898094
563.1,	0.772253
563.838,	0.791666
564.576,	0.913145
565.314,	1.04694
566.052,	1.2141
566.79,	1.43407
567.528,	1.59929
568.266,	1.58448
569.004,	1.34779
569.742,	1.11509
570.48,	1.25527
571.218,	1.75835
571.956,	2.08986
572.694,	2.02298
573.432,	1.87022
574.17,	1.9526
574.908,	2.18414
575.646,	2.13687
576.384,	1.72688
577.122,	1.33781
577.86,	1.24699
578.598,	1.32958
579.336,	1.41044
580.074,	1.45906
580.812,	1.51651
581.55,	1.53684
582.288,	1.3875
583.026,	1.09829
583.764,	0.886194
584.502,	0.79739
585.24,	0.705386
585.978,	0.679102
586.716,	0.85055
587.454,	1.21457
588.192,	1.66595
588.93,	1.9841
589.668,	2.00241
590.406,	1.8033
591.144,	1.64732
591.882,	1.69035
592.62,	1.91692
593.358,	2.10108
594.096,	2.05118
594.834,	1.80114
595.572,	1.58848
596.31,	1.48143
597.048,	1.43494
597.786,	1.50702
598.524,	1.5805
599.262,	1.46078
600,	1.28372
600.738,	1.271
601.476,	1.46425
602.214,	1.75531
602.952,	1.90011
603.69,	1.87922
604.428,	1.86374
605.166,	1.8314
605.904,	1.67562
606.642,	1.51106
607.38,	1.46549
608.118,	1.60175
608.856,	1.93775
609.594,	2.2858
610.332,	2.34955
611.07,	1.97633
611.808,	1.37534
612.546,	1.14959
613.284,	1.59627
614.022,	2.31715
614.76,	2.65875
615.498,	2.29909
616.236,	1.59565
616.974,	1.16557
617.712,	1.39216
618.45,	2.08548
619.188,	2.64061
619.926,	2.65166
620.664,	2.2163
621.402,	1.67599
622.14,	1.40301
622.878,	1.49114
623.616,	1.67518
624.354,	1.7384
625.092,	1.57372
625.83,	1.20175
626.568,	0.857091
627.306,	0.700035
628.044,	0.623512
