tm	deltaT	execTm	deltaTExecTm	CoMean	CoMax
4.511111100000000191e-04	1.111111100000000074e-06	1.171938600000000006e+05	5.640700000000069849e+02	3.120694599999999930e-02	6.481251599999999780e-01
4.522222199999999964e-04	1.111111100000000074e-06	1.177636399999999994e+05	5.697799999999988358e+02	3.460344900000000140e-02	7.188596000000000430e-01
4.533333299999999736e-04	1.111111100000000074e-06	1.183670099999999948e+05	6.033699999999953434e+02	3.454305099999999823e-02	7.162063100000000126e-01
4.544444400000000051e-04	1.111111100000000074e-06	1.189670899999999965e+05	6.000800000000017462e+02	3.448686100000000060e-02	7.245283399999999929e-01
4.555555599999999965e-04	1.111111100000000074e-06	1.195789499999999971e+05	6.118600000000005821e+02	3.443857399999999958e-02	7.349330899999999556e-01
4.566666699999999738e-04	1.111111100000000074e-06	1.201656900000000023e+05	5.867400000000052387e+02	3.436174399999999962e-02	7.458847600000000355e-01
4.577777800000000052e-04	1.111111100000000074e-06	1.207632500000000000e+05	5.975599999999976717e+02	3.432030099999999750e-02	7.554910099999999629e-01
4.588888899999999825e-04	1.111111100000000074e-06	1.213376699999999983e+05	5.744199999999982538e+02	3.425486099999999756e-02	7.621797700000000342e-01
4.600000000000000139e-04	1.111111100000000074e-06	1.219487100000000064e+05	6.110400000000081491e+02	3.418449199999999688e-02	7.733998300000000103e-01
4.611111099999999911e-04	1.111111100000000074e-06	1.225585700000000070e+05	6.098600000000005821e+02	3.409309399999999740e-02	7.862401599999999657e-01
4.622222200000000226e-04	1.111111100000000074e-06	1.231848699999999953e+05	6.262999999999883585e+02	3.402675000000000144e-02	7.948229100000000491e-01
4.633333299999999998e-04	1.111111100000000074e-06	1.237882700000000041e+05	6.034000000000087311e+02	3.396825400000000328e-02	7.999460699999999536e-01
4.644444399999999771e-04	1.111111100000000074e-06	1.244051300000000047e+05	6.168600000000005821e+02	3.390512899999999913e-02	8.047744999999999482e-01
4.655555600000000228e-04	1.111111100000000074e-06	1.250027899999999936e+05	5.976599999999889405e+02	3.386292999999999942e-02	8.109159400000000018e-01
4.666666700000000000e-04	1.111111100000000074e-06	1.255865800000000017e+05	5.837900000000081491e+02	3.379405399999999698e-02	8.143180599999999547e-01
4.677777799999999772e-04	1.111111100000000074e-06	1.261548500000000058e+05	5.682700000000040745e+02	3.375779300000000122e-02	8.173606199999999822e-01
4.688888900000000087e-04	1.111111100000000074e-06	1.267202799999999988e+05	5.654299999999930151e+02	3.369536399999999848e-02	8.181666600000000455e-01
4.699999999999999859e-04	1.111111100000000074e-06	1.272782500000000000e+05	5.579700000000011642e+02	3.365167699999999790e-02	8.178948200000000224e-01
4.711111100000000174e-04	1.111111100000000074e-06	1.278786100000000006e+05	6.003600000000005821e+02	3.361202299999999782e-02	8.162115199999999682e-01
4.722222199999999946e-04	1.111111100000000074e-06	1.284676600000000035e+05	5.890500000000029104e+02	3.357295600000000102e-02	8.151475000000000248e-01
4.733333300000000261e-04	1.111111100000000074e-06	1.290418300000000017e+05	5.741699999999982538e+02	3.352044400000000340e-02	8.135076100000000476e-01
4.744444400000000033e-04	1.111111100000000074e-06	1.295959299999999930e+05	5.540999999999912689e+02	3.350120499999999918e-02	8.132880700000000296e-01
4.755555599999999948e-04	1.111111100000000074e-06	1.301560000000000000e+05	5.600700000000069849e+02	3.345241399999999976e-02	8.128657400000000033e-01
4.766666700000000262e-04	1.111111100000000074e-06	1.306936600000000035e+05	5.376600000000034925e+02	3.339312800000000109e-02	8.107373500000000233e-01
4.777777800000000035e-04	1.111111100000000074e-06	1.312597999999999884e+05	5.661399999999848660e+02	3.334084100000000300e-02	8.066683999999999521e-01
4.788888899999999807e-04	1.111111100000000074e-06	1.318047200000000012e+05	5.449200000000128057e+02	3.327872300000000311e-02	8.047536800000000268e-01
4.800000000000000122e-04	1.111111100000000074e-06	1.323569100000000035e+05	5.521900000000023283e+02	3.321954900000000099e-02	8.048142900000000433e-01
4.811111099999999894e-04	1.111111100000000074e-06	1.329369299999999930e+05	5.800199999999895226e+02	3.316160900000000161e-02	8.045830899999999453e-01
4.822222200000000208e-04	1.111111100000000074e-06	1.335078800000000047e+05	5.709500000000116415e+02	3.307967900000000072e-02	8.075025700000000306e-01
4.833333299999999981e-04	1.111111100000000074e-06	1.340819899999999907e+05	5.741099999999860302e+02	3.301541999999999671e-02	8.105798100000000117e-01
4.844444399999999753e-04	1.111111100000000074e-06	1.346484100000000035e+05	5.664200000000128057e+02	3.293421099999999796e-02	8.118729900000000166e-01
4.855555600000000210e-04	1.111111100000000074e-06	1.352076199999999953e+05	5.592099999999918509e+02	3.285094899999999735e-02	8.102179000000000464e-01
4.866666699999999983e-04	1.111111100000000074e-06	1.357967699999999895e+05	5.891499999999941792e+02	3.278318000000000204e-02	8.051901099999999589e-01
4.877777799999999755e-04	1.111111100000000074e-06	1.363722799999999988e+05	5.755100000000093132e+02	3.269887400000000277e-02	7.999649599999999472e-01
4.888888899999999527e-04	1.111111100000000074e-06	1.369741900000000023e+05	6.019100000000034925e+02	3.261982100000000023e-02	7.951015700000000352e-01
4.899999999999999842e-04	1.111111100000000074e-06	1.375978099999999977e+05	6.236199999999953434e+02	3.253673900000000202e-02	7.939184599999999925e-01
4.911111100000000156e-04	1.111111100000000074e-06	1.381846000000000058e+05	5.867900000000081491e+02	3.246799200000000107e-02	7.888819999999999721e-01
4.922222200000000471e-04	1.111111100000000074e-06	1.387642099999999919e+05	5.796099999999860302e+02	3.241325300000000298e-02	7.825943199999999544e-01
4.933333299999999701e-04	1.111111100000000074e-06	1.393054500000000116e+05	5.412400000000197906e+02	3.231459099999999668e-02	7.775805500000000370e-01
4.944444400000000015e-04	1.111111100000000074e-06	1.398638399999999965e+05	5.583899999999848660e+02	3.223096799999999873e-02	7.587645100000000031e-01
4.955555599999999930e-04	1.111111100000000074e-06	1.404479599999999919e+05	5.841199999999953434e+02	3.216465400000000086e-02	7.397335900000000519e-01
