"Result",U:0,"U:1","U:2","vtkValidPointMask","arc_length",Points:0,"Points:1","Points:2"
-0.010511,-0.052553,0.0032599,-0.002485,1,0.016773,0.0086773,0,0.125
-0.011516,-0.057582,0.0037902,-0.0017697,1,0.016886,0.0087906,0,0.125
-0.01244,-0.062202,0.0044316,-0.0011811,1,0.017,0.008904,0,0.125
-0.013364,-0.066822,0.005073,-0.00059259,1,0.017113,0.0090173,0,0.125
-0.014209,-0.071046,0.0059333,-0.00041464,1,0.017226,0.0091306,0,0.125
-0.015016,-0.075081,0.0068981,-0.00043171,1,0.01734,0.0092439,0,0.125
-0.015823,-0.079117,0.0078628,-0.00044878,1,0.017453,0.0093573,0,0.125
-0.01663,-0.083152,0.0088275,-0.00046585,1,0.017566,0.0094706,0,0.125
-0.017406,-0.087028,0.0099271,-0.00069541,1,0.01768,0.0095839,0,0.125
-0.018154,-0.09077,0.011141,-0.0010996,1,0.017793,0.0096973,0,0.125
-0.018902,-0.094512,0.012356,-0.0015038,1,0.017906,0.0098106,0,0.125
-0.019651,-0.098254,0.01357,-0.001908,1,0.01802,0.0099239,0,0.125
-0.020399,-0.102,0.014784,-0.0023122,1,0.018133,0.010037,0,0.125
-0.021188,-0.10594,0.015813,-0.0030477,1,0.018246,0.010151,0,0.125
-0.021993,-0.10997,0.016764,-0.0039217,1,0.01836,0.010264,0,0.125
-0.022799,-0.11399,0.017715,-0.0047957,1,0.018473,0.010377,0,0.125
-0.023604,-0.11802,0.018666,-0.0056697,1,0.018586,0.010491,0,0.125
-0.024461,-0.1223,0.019287,-0.0065334,1,0.0187,0.010604,0,0.125
-0.025354,-0.12677,0.019671,-0.0073898,1,0.018813,0.010717,0,0.125
-0.026246,-0.13123,0.020055,-0.0082462,1,0.018926,0.010831,0,0.125
-0.027139,-0.1357,0.020438,-0.0091026,1,0.01904,0.010944,0,0.125
-0.028041,-0.1402,0.020667,-0.0098119,1,0.019153,0.011057,0,0.125
-0.02895,-0.14475,0.020751,-0.010383,1,0.019266,0.011171,0,0.125
-0.02986,-0.1493,0.020835,-0.010955,1,0.01938,0.011284,0,0.125
-0.030769,-0.15385,0.020919,-0.011526,1,0.019493,0.011397,0,0.125
-0.031668,-0.15834,0.021133,-0.011959,1,0.019606,0.011511,0,0.125
-0.032554,-0.16277,0.021504,-0.012227,1,0.01972,0.011624,0,0.125
-0.03344,-0.1672,0.021875,-0.012496,1,0.019833,0.011737,0,0.125
-0.034326,-0.17163,0.022245,-0.012764,1,0.019946,0.011851,0,0.125
-0.035207,-0.17603,0.02263,-0.012943,1,0.02006,0.011964,0,0.125
-0.036081,-0.18041,0.023037,-0.012985,1,0.020173,0.012077,0,0.125
-0.036955,-0.18478,0.023444,-0.013027,1,0.020286,0.012191,0,0.125
-0.03783,-0.18915,0.023851,-0.013069,1,0.0204,0.012304,0,0.125
-0.038691,-0.19345,0.024111,-0.013073,1,0.020513,0.012417,0,0.125
-0.039527,-0.19763,0.024081,-0.013002,1,0.020626,0.012531,0,0.125
-0.040362,-0.20181,0.024052,-0.012931,1,0.02074,0.012644,0,0.125
-0.041198,-0.20599,0.024022,-0.01286,1,0.020853,0.012757,0,0.125
-0.042035,-0.21017,0.024013,-0.01275,1,0.020966,0.012871,0,0.125
-0.042872,-0.21436,0.024058,-0.012535,1,0.021079,0.012984,0,0.125
-0.04371,-0.21855,0.024103,-0.01232,1,0.021193,0.013097,0,0.125
-0.044548,-0.22274,0.024148,-0.012105,1,0.021306,0.013211,0,0.125
-0.045401,-0.227,0.024356,-0.011828,1,0.021419,0.013324,0,0.125
-0.046305,-0.23152,0.025148,-0.01133,1,0.021533,0.013437,0,0.125
-0.047209,-0.23604,0.025941,-0.010833,1,0.021646,0.013551,0,0.125
-0.048113,-0.24056,0.026734,-0.010335,1,0.021759,0.013664,0,0.125
-0.049032,-0.24516,0.027679,-0.0097487,1,0.021873,0.013777,0,0.125
-0.05003,-0.25015,0.029428,-0.0086937,1,0.021986,0.013891,0,0.125
-0.051029,-0.25514,0.031176,-0.0076388,1,0.022099,0.014004,0,0.125
-0.052028,-0.26014,0.032924,-0.0065838,1,0.022213,0.014117,0,0.125
-0.053034,-0.26517,0.034721,-0.00549,1,0.022326,0.01423,0,0.125
-0.054105,-0.27052,0.036911,-0.004081,1,0.022439,0.014344,0,0.125
-0.055175,-0.27588,0.039102,-0.0026719,1,0.022553,0.014457,0,0.125
-0.056246,-0.28123,0.041292,-0.0012629,1,0.022666,0.01457,0,0.125
-0.057323,-0.28661,0.043467,0.00013009,1,0.022779,0.014684,0,0.125
-0.058496,-0.29248,0.045379,0.0012636,1,0.022893,0.014797,0,0.125
-0.059669,-0.29835,0.047291,0.0023972,1,0.023006,0.01491,0,0.125
-0.060842,-0.30421,0.049203,0.0035307,1,0.023119,0.015024,0,0.125
-0.062018,-0.31009,0.051109,0.0046573,1,0.023233,0.015137,0,0.125
-0.063352,-0.31676,0.052587,0.0053356,1,0.023346,0.01525,0,0.125
-0.064687,-0.32343,0.054066,0.006014,1,0.023459,0.015364,0,0.125
