u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
-0.130047,-0.650237,0.0292041,-0.0477501,1,0.00862954,0.0158795,0,0.125,88,0
-0.133321,-0.666605,0.028058,-0.0483471,1,0.00872761,0.0159776,0,0.125,89,0
-0.136595,-0.682974,0.0269118,-0.048944,1,0.00882567,0.0160757,0,0.125,90,0
-0.139868,-0.699342,0.0257657,-0.049541,1,0.00892373,0.0161737,0,0.125,91,0
-0.143142,-0.71571,0.0246196,-0.050138,1,0.0090218,0.0162718,0,0.125,92,0
-0.146416,-0.732077,0.0234735,-0.050735,1,0.00911986,0.0163699,0,0.125,93,0
-0.149967,-0.749833,0.0218142,-0.0501843,1,0.00921792,0.0164679,0,0.125,94,0
-0.153571,-0.767853,0.0200206,-0.0494142,1,0.00931598,0.016566,0,0.125,95,0
-0.157175,-0.785874,0.0182269,-0.048644,1,0.00941405,0.016664,0,0.125,96,0
-0.160779,-0.803895,0.0164333,-0.0478739,1,0.00951211,0.0167621,0,0.125,97,0
-0.164383,-0.821915,0.0146397,-0.0471037,1,0.00961017,0.0168602,0,0.125,98,0
-0.16804,-0.840198,0.0127175,-0.046116,1,0.00970824,0.0169582,0,0.125,99,0
-0.171903,-0.859513,0.0102574,-0.0443152,1,0.0098063,0.0170563,0,0.125,100,0
-0.175765,-0.878827,0.00779722,-0.0425144,1,0.00990436,0.0171544,0,0.125,101,0
-0.179628,-0.898142,0.00533708,-0.0407137,1,0.0100024,0.0172524,0,0.125,102,0
-0.183491,-0.917457,0.00287694,-0.0389129,1,0.0101005,0.0173505,0,0.125,103,0
-0.187354,-0.936771,0.000416805,-0.0371121,1,0.0101986,0.0174486,0,0.125,104,0
-0.191284,-0.956421,-0.00224511,-0.0350399,1,0.0102966,0.0175466,0,0.125,105,0
-0.19527,-0.976348,-0.005048,-0.0327827,1,0.0103947,0.0176447,0,0.125,106,0
-0.199255,-0.996275,-0.00785094,-0.0305255,1,0.0104927,0.0177427,0,0.125,107,0
-0.20324,-1.0162,-0.0106538,-0.0282683,1,0.0105908,0.0178408,0,0.125,108,0
-0.207226,-1.03613,-0.0134567,-0.0260111,1,0.0106889,0.0179389,0,0.125,109,0
