U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
5.0986,0.190437,0.0218334,1,0.00780689,0.0574499,-0.0226812,0.125,128,0
5.09757,0.190617,0.0218102,1,0.00786788,0.0574499,-0.0226202,0.125,129,0
5.09654,0.190796,0.0217869,1,0.00792887,0.0574499,-0.0225592,0.125,130,0
5.09545,0.190984,0.0217637,1,0.00798986,0.0574499,-0.0224982,0.125,131,0
5.09401,0.191211,0.0217407,1,0.00805085,0.0574499,-0.0224372,0.125,132,0
5.09257,0.191438,0.0217177,1,0.00811184,0.0574499,-0.0223763,0.125,133,0
5.09113,0.191665,0.0216947,1,0.00817283,0.0574499,-0.0223153,0.125,134,0
5.08969,0.191892,0.0216717,1,0.00823382,0.0574499,-0.0222543,0.125,135,0
5.08824,0.192119,0.0216487,1,0.00829482,0.0574499,-0.0221933,0.125,136,0
5.0868,0.192346,0.0216256,1,0.00835581,0.0574499,-0.0221323,0.125,137,0
5.08536,0.192573,0.0216026,1,0.0084168,0.0574499,-0.0220713,0.125,138,0
5.08392,0.1928,0.0215796,1,0.00847779,0.0574499,-0.0220103,0.125,139,0
5.08248,0.193027,0.0215566,1,0.00853878,0.0574499,-0.0219493,0.125,140,0
5.08104,0.193254,0.0215336,1,0.00859977,0.0574499,-0.0218883,0.125,141,0
5.0796,0.193481,0.0215106,1,0.00866077,0.0574499,-0.0218273,0.125,142,0
5.07788,0.193771,0.0215657,1,0.00872176,0.0574499,-0.0217663,0.125,143,0
5.07593,0.194113,0.0216851,1,0.00878275,0.0574499,-0.0217054,0.125,144,0
5.07398,0.194456,0.0218046,1,0.00884374,0.0574499,-0.0216444,0.125,145,0
5.07203,0.194798,0.021924,1,0.00890473,0.0574499,-0.0215834,0.125,146,0
5.07009,0.19514,0.0220435,1,0.00896572,0.0574499,-0.0215224,0.125,147,0
5.06814,0.195482,0.0221629,1,0.00902671,0.0574499,-0.0214614,0.125,148,0
5.06619,0.195824,0.0222824,1,0.0090877,0.0574499,-0.0214004,0.125,149,0
5.06424,0.196167,0.0224018,1,0.00914869,0.0574499,-0.0213394,0.125,150,0
5.06229,0.196509,0.0225213,1,0.00920969,0.0574499,-0.0212784,0.125,151,0
5.06034,0.196851,0.0226407,1,0.00927068,0.0574499,-0.0212174,0.125,152,0
5.05839,0.197193,0.0227601,1,0.00933167,0.0574499,-0.0211564,0.125,153,0
5.05645,0.197536,0.0228796,1,0.00939266,0.0574499,-0.0210954,0.125,154,0
5.05393,0.197984,0.0232183,1,0.00945365,0.0574499,-0.0210344,0.125,155,0
5.05137,0.198441,0.0235726,1,0.00951464,0.0574499,-0.0209735,0.125,156,0
5.04881,0.198897,0.0239268,1,0.00957563,0.0574499,-0.0209125,0.125,157,0
5.04626,0.199353,0.0242811,1,0.00963663,0.0574499,-0.0208515,0.125,158,0
5.0437,0.19981,0.0246353,1,0.00969762,0.0574499,-0.0207905,0.125,159,0
5.04114,0.200266,0.0249896,1,0.00975861,0.0574499,-0.0207295,0.125,160,0
5.03859,0.200722,0.0253439,1,0.0098196,0.0574499,-0.0206685,0.125,161,0
5.03603,0.201179,0.0256981,1,0.00988059,0.0574499,-0.0206075,0.125,162,0
5.03347,0.201635,0.0260524,1,0.00994158,0.0574499,-0.0205465,0.125,163,0
5.03091,0.202091,0.0264067,1,0.0100026,0.0574499,-0.0204855,0.125,164,0
5.02836,0.202548,0.0267609,1,0.0100636,0.0574499,-0.0204245,0.125,165,0
5.02563,0.202998,0.027196,1,0.0101246,0.0574499,-0.0203635,0.125,166,0
5.02256,0.203436,0.0278039,1,0.0101855,0.0574499,-0.0203026,0.125,167,0
5.01948,0.203874,0.0284117,1,0.0102465,0.0574499,-0.0202416,0.125,168,0
5.0164,0.204312,0.0290195,1,0.0103075,0.0574499,-0.0201806,0.125,169,0
5.01332,0.20475,0.0296273,1,0.0103685,0.0574499,-0.0201196,0.125,170,0
5.01024,0.205188,0.0302351,1,0.0104295,0.0574499,-0.0200586,0.125,171,0
5.00716,0.205626,0.0308429,1,0.0104905,0.0574499,-0.0199976,0.125,172,0
5.00409,0.206064,0.0314507,1,0.0105515,0.0574499,-0.0199366,0.125,173,0
5.00101,0.206502,0.0320585,1,0.0106125,0.0574499,-0.0198756,0.125,174,0
4.99793,0.20694,0.0326663,1,0.0106735,0.0574499,-0.0198146,0.125,175,0
4.99485,0.207378,0.0332741,1,0.0107345,0.0574499,-0.0197536,0.125,176,0
4.99177,0.207816,0.0338819,1,0.0107955,0.0574499,-0.0196926,0.125,177,0
4.98847,0.208125,0.0345534,1,0.0108565,0.0574499,-0.0196316,0.125,178,0
4.98506,0.208381,0.0352514,1,0.0109174,0.0574499,-0.0195707,0.125,179,0
4.98166,0.208636,0.0359495,1,0.0109784,0.0574499,-0.0195097,0.125,180,0
4.97826,0.208891,0.0366475,1,0.0110394,0.0574499,-0.0194487,0.125,181,0
4.97486,0.209147,0.0373456,1,0.0111004,0.0574499,-0.0193877,0.125,182,0
4.97146,0.209402,0.0380436,1,0.0111614,0.0574499,-0.0193267,0.125,183,0
4.96805,0.209658,0.0387417,1,0.0112224,0.0574499,-0.0192657,0.125,184,0
4.96465,0.209913,0.0394397,1,0.0112834,0.0574499,-0.0192047,0.125,185,0
4.96125,0.210168,0.0401378,1,0.0113444,0.0574499,-0.0191437,0.125,186,0
4.95785,0.210424,0.0408358,1,0.0114054,0.0574499,-0.0190827,0.125,187,0
4.95445,0.210679,0.0415339,1,0.0114664,0.0574499,-0.0190217,0.125,188,0
4.95104,0.210913,0.0421988,1,0.0115274,0.0574499,-0.0189607,0.125,189,0
4.94758,0.210931,0.0425267,1,0.0115883,0.0574499,-0.0188998,0.125,190,0
4.94411,0.210949,0.0428546,1,0.0116493,0.0574499,-0.0188388,0.125,191,0
4.94065,0.210968,0.0431825,1,0.0117103,0.0574499,-0.0187778,0.125,192,0
4.93718,0.210986,0.0435104,1,0.0117713,0.0574499,-0.0187168,0.125,193,0
4.93372,0.211004,0.0438382,1,0.0118323,0.0574499,-0.0186558,0.125,194,0
4.93025,0.211022,0.0441661,1,0.0118933,0.0574499,-0.0185948,0.125,195,0
4.92679,0.21104,0.044494,1,0.0119543,0.0574499,-0.0185338,0.125,196,0
4.92332,0.211058,0.0448219,1,0.0120153,0.0574499,-0.0184728,0.125,197,0
4.91986,0.211076,0.0451498,1,0.0120763,0.0574499,-0.0184118,0.125,198,0
4.91639,0.211094,0.0454777,1,0.0121373,0.0574499,-0.0183508,0.125,199,0
4.91293,0.211112,0.0458056,1,0.0121983,0.0574499,-0.0182898,0.125,200,0
4.90964,0.211066,0.0458045,1,0.0122593,0.0574499,-0.0182288,0.125,201,0
4.90654,0.210949,0.0454371,1,0.0123202,0.0574499,-0.0181679,0.125,202,0
4.90344,0.210832,0.0450697,1,0.0123812,0.0574499,-0.0181069,0.125,203,0
4.90034,0.210715,0.0447023,1,0.0124422,0.0574499,-0.0180459,0.125,204,0
4.89725,0.210598,0.0443348,1,0.0125032,0.0574499,-0.0179849,0.125,205,0
4.89415,0.210481,0.0439674,1,0.0125642,0.0574499,-0.0179239,0.125,206,0
4.89105,0.210364,0.0436,1,0.0126252,0.0574499,-0.0178629,0.125,207,0
4.88795,0.210247,0.0432326,1,0.0126862,0.0574499,-0.0178019,0.125,208,0
4.88486,0.21013,0.0428651,1,0.0127472,0.0574499,-0.0177409,0.125,209,0
4.88176,0.210013,0.0424977,1,0.0128082,0.0574499,-0.0176799,0.125,210,0
4.87866,0.209896,0.0421303,1,0.0128692,0.0574499,-0.0176189,0.125,211,0
4.87556,0.209779,0.0417629,1,0.0129302,0.0574499,-0.0175579,0.125,212,0
4.87205,0.209784,0.0407831,1,0.0129911,0.0574499,-0.017497,0.125,213,0
4.86847,0.209809,0.0397009,1,0.0130521,0.0574499,-0.017436,0.125,214,0
4.86489,0.209834,0.0386187,1,0.0131131,0.0574499,-0.017375,0.125,215,0
4.86131,0.20986,0.0375365,1,0.0131741,0.0574499,-0.017314,0.125,216,0
4.85773,0.209885,0.0364543,1,0.0132351,0.0574499,-0.017253,0.125,217,0
4.85415,0.20991,0.0353721,1,0.0132961,0.0574499,-0.017192,0.125,218,0
4.85057,0.209935,0.0342899,1,0.0133571,0.0574499,-0.017131,0.125,219,0
4.84699,0.209961,0.0332077,1,0.0134181,0.0574499,-0.01707,0.125,220,0
4.84341,0.209986,0.0321255,1,0.0134791,0.0574499,-0.017009,0.125,221,0
4.83983,0.210011,0.0310432,1,0.0135401,0.0574499,-0.016948,0.125,222,0
4.83625,0.210036,0.029961,1,0.0136011,0.0574499,-0.016887,0.125,223,0
4.83289,0.210162,0.0288709,1,0.0136621,0.0574499,-0.016826,0.125,224,0
