u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
-0.0771563,-0.385781,0.207218,-0.0778055,1,0.00931598,0.016566,0,0.125,95,0
-0.0793147,-0.396573,0.213181,-0.0747233,1,0.00941405,0.016664,0,0.125,96,0
-0.081473,-0.407365,0.219144,-0.0716411,1,0.00951211,0.0167621,0,0.125,97,0
-0.0836406,-0.418203,0.224896,-0.0685694,1,0.00961017,0.0168602,0,0.125,98,0
-0.0859182,-0.429591,0.228143,-0.0656307,1,0.00970824,0.0169582,0,0.125,99,0
-0.0881957,-0.440979,0.23139,-0.062692,1,0.0098063,0.0170563,0,0.125,100,0
-0.0904734,-0.452367,0.234637,-0.0597532,1,0.00990436,0.0171544,0,0.125,101,0
-0.092751,-0.463755,0.237884,-0.0568145,1,0.0100024,0.0172524,0,0.125,102,0
-0.0951008,-0.475504,0.240464,-0.0538285,1,0.0101005,0.0173505,0,0.125,103,0
-0.0975463,-0.487732,0.242159,-0.0507803,1,0.0101986,0.0174486,0,0.125,104,0
-0.0999918,-0.499959,0.243854,-0.0477321,1,0.0102966,0.0175466,0,0.125,105,0
-0.102437,-0.512187,0.24555,-0.0446839,1,0.0103947,0.0176447,0,0.125,106,0
-0.104883,-0.524415,0.247245,-0.0416356,1,0.0104927,0.0177427,0,0.125,107,0
-0.107375,-0.536874,0.249446,-0.0386667,1,0.0105908,0.0178408,0,0.125,108,0
-0.109879,-0.549396,0.251783,-0.0357189,1,0.0106889,0.0179389,0,0.125,109,0
-0.112383,-0.561917,0.25412,-0.0327711,1,0.0107869,0.0180369,0,0.125,110,0
-0.114888,-0.574438,0.256457,-0.0298233,1,0.010885,0.018135,0,0.125,111,0
-0.117372,-0.58686,0.258813,-0.0269293,1,0.0109831,0.0182331,0,0.125,112,0
-0.119744,-0.598721,0.261273,-0.0243359,1,0.0110811,0.0183311,0,0.125,113,0
