u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
-0.139623,-0.698115,-0.0133669,-0.135863,1,0.00941405,0.016664,0,0.125,96,0
-0.142803,-0.714015,-0.0130848,-0.137987,1,0.00951211,0.0167621,0,0.125,97,0
-0.146036,-0.730178,-0.0127156,-0.140311,1,0.00961017,0.0168602,0,0.125,98,0
-0.149268,-0.74634,-0.0123463,-0.142635,1,0.00970824,0.0169582,0,0.125,99,0
-0.152501,-0.762503,-0.0119771,-0.144959,1,0.0098063,0.0170563,0,0.125,100,0
-0.155734,-0.778671,-0.0116,-0.147294,1,0.00990436,0.0171544,0,0.125,101,0
-0.159108,-0.795538,-0.0108328,-0.150511,1,0.0100024,0.0172524,0,0.125,102,0
-0.162481,-0.812404,-0.0100655,-0.153728,1,0.0101005,0.0173505,0,0.125,103,0
-0.165854,-0.82927,-0.00929828,-0.156945,1,0.0101986,0.0174486,0,0.125,104,0
-0.169227,-0.846137,-0.00853103,-0.160162,1,0.0102966,0.0175466,0,0.125,105,0
-0.172613,-0.863065,-0.00781709,-0.163524,1,0.0103947,0.0176447,0,0.125,106,0
-0.176042,-0.880209,-0.0072464,-0.167335,1,0.0104927,0.0177427,0,0.125,107,0
-0.179471,-0.897353,-0.00667573,-0.171147,1,0.0105908,0.0178408,0,0.125,108,0
-0.182899,-0.914496,-0.00610506,-0.174958,1,0.0106889,0.0179389,0,0.125,109,0
-0.186328,-0.93164,-0.00553438,-0.17877,1,0.0107869,0.0180369,0,0.125,110,0
-0.18949,-0.947451,-0.00536979,-0.182381,1,0.010885,0.018135,0,0.125,111,0
-0.192358,-0.961789,-0.00565597,-0.185766,1,0.0109831,0.0182331,0,0.125,112,0
-0.195226,-0.976128,-0.00594215,-0.189151,1,0.0110811,0.0183311,0,0.125,113,0
-0.198093,-0.990467,-0.00622833,-0.192536,1,0.0111792,0.0184292,0,0.125,114,0
-0.200961,-1.00481,-0.00651451,-0.195921,1,0.0112772,0.0185272,0,0.125,115,0
-0.204257,-1.02128,-0.00772984,-0.199448,1,0.0113753,0.0186253,0,0.125,116,0
-0.207723,-1.03861,-0.00931563,-0.20303,1,0.0114734,0.0187234,0,0.125,117,0
-0.211189,-1.05595,-0.0109014,-0.206613,1,0.0115714,0.0188214,0,0.125,118,0
-0.214655,-1.07328,-0.0124872,-0.210196,1,0.0116695,0.0189195,0,0.125,119,0
-0.218122,-1.09061,-0.014073,-0.213778,1,0.0117676,0.0190176,0,0.125,120,0
-0.22215,-1.11075,-0.0173284,-0.216349,1,0.0118656,0.0191156,0,0.125,121,0
-0.226206,-1.13103,-0.0206647,-0.218873,1,0.0119637,0.0192137,0,0.125,122,0
-0.230261,-1.15131,-0.0240011,-0.221398,1,0.0120617,0.0193117,0,0.125,123,0
-0.234317,-1.17158,-0.0273374,-0.223922,1,0.0121598,0.0194098,0,0.125,124,0
-0.238241,-1.19121,-0.030704,-0.226038,1,0.0122579,0.0195079,0,0.125,125,0
-0.241652,-1.20826,-0.0341743,-0.226553,1,0.0123559,0.0196059,0,0.125,126,0
-0.245063,-1.22531,-0.0376447,-0.227068,1,0.012454,0.019704,0,0.125,127,0
-0.248473,-1.24237,-0.041115,-0.227582,1,0.0125521,0.0198021,0,0.125,128,0
-0.251884,-1.25942,-0.0445854,-0.228097,1,0.0126501,0.0199001,0,0.125,129,0
-0.255245,-1.27623,-0.0479436,-0.22825,1,0.0127482,0.0199982,0,0.125,130,0
-0.258547,-1.29274,-0.0511636,-0.227964,1,0.0128463,0.0200963,0,0.125,131,0
-0.261849,-1.30924,-0.0543836,-0.227679,1,0.0129443,0.0201943,0,0.125,132,0
-0.265151,-1.32575,-0.0576036,-0.227394,1,0.0130424,0.0202924,0,0.125,133,0
-0.268453,-1.34226,-0.0608236,-0.227108,1,0.0131404,0.0203904,0,0.125,134,0
-0.271628,-1.35814,-0.0635029,-0.227151,1,0.0132385,0.0204885,0,0.125,135,0
-0.27475,-1.37375,-0.0659538,-0.227332,1,0.0133366,0.0205866,0,0.125,136,0
-0.277872,-1.38936,-0.0684047,-0.227513,1,0.0134346,0.0206846,0,0.125,137,0
-0.280994,-1.40497,-0.0708556,-0.227693,1,0.0135327,0.0207827,0,0.125,138,0
-0.284116,-1.42058,-0.0733065,-0.227874,1,0.0136308,0.0208808,0,0.125,139,0
-0.286965,-1.43482,-0.0748455,-0.228973,1,0.0137288,0.0209788,0,0.125,140,0
-0.289802,-1.44901,-0.0763449,-0.230111,1,0.0138269,0.0210769,0,0.125,141,0
-0.29264,-1.4632,-0.0778444,-0.231249,1,0.0139249,0.0211749,0,0.125,142,0
-0.295477,-1.47738,-0.0793438,-0.232387,1,0.014023,0.021273,0,0.125,143,0
-0.298232,-1.49116,-0.0806233,-0.233611,1,0.0141211,0.0213711,0,0.125,144,0
-0.300688,-1.50344,-0.0810977,-0.235149,1,0.0142191,0.0214691,0,0.125,145,0
-0.303145,-1.51572,-0.0815721,-0.236687,1,0.0143172,0.0215672,0,0.125,146,0
-0.305601,-1.52801,-0.0820465,-0.238225,1,0.0144153,0.0216653,0,0.125,147,0
-0.308058,-1.54029,-0.0825209,-0.239763,1,0.0145133,0.0217633,0,0.125,148,0
-0.310302,-1.55151,-0.0825051,-0.241273,1,0.0146114,0.0218614,0,0.125,149,0
-0.312311,-1.56155,-0.08194,-0.242752,1,0.0147095,0.0219595,0,0.125,150,0
-0.314319,-1.5716,-0.0813748,-0.244231,1,0.0148075,0.0220575,0,0.125,151,0
-0.316328,-1.58164,-0.0808097,-0.245709,1,0.0149056,0.0221556,0,0.125,152,0
-0.318336,-1.59168,-0.0802446,-0.247188,1,0.0150036,0.0222536,0,0.125,153,0
-0.319992,-1.59996,-0.0791704,-0.24871,1,0.0151017,0.0223517,0,0.125,154,0
-0.32152,-1.6076,-0.0779091,-0.250247,1,0.0151998,0.0224498,0,0.125,155,0
-0.323047,-1.61524,-0.0766479,-0.251785,1,0.0152978,0.0225478,0,0.125,156,0
-0.324575,-1.62287,-0.0753867,-0.253323,1,0.0153959,0.0226459,0,0.125,157,0
-0.326102,-1.63051,-0.0741254,-0.25486,1,0.015494,0.022744,0,0.125,158,0
-0.327138,-1.63569,-0.0727051,-0.256678,1,0.015592,0.022842,0,0.125,159,0
-0.32817,-1.64085,-0.0712825,-0.258497,1,0.0156901,0.0229401,0,0.125,160,0
-0.329202,-1.64601,-0.0698599,-0.260316,1,0.0157881,0.0230381,0,0.125,161,0
-0.330233,-1.65117,-0.0684373,-0.262136,1,0.0158862,0.0231362,0,0.125,162,0
-0.331147,-1.65574,-0.0669967,-0.264061,1,0.0159843,0.0232343,0,0.125,163,0
-0.331714,-1.65857,-0.0654999,-0.266295,1,0.0160823,0.0233323,0,0.125,164,0
-0.332281,-1.66141,-0.064003,-0.26853,1,0.0161804,0.0234304,0,0.125,165,0
-0.332848,-1.66424,-0.0625062,-0.270764,1,0.0162785,0.0235285,0,0.125,166,0
-0.333415,-1.66708,-0.0610093,-0.272999,1,0.0163765,0.0236265,0,0.125,167,0
-0.333743,-1.66872,-0.059369,-0.275315,1,0.0164746,0.0237246,0,0.125,168,0
-0.333847,-1.66924,-0.0575934,-0.277708,1,0.0165726,0.0238226,0,0.125,169,0
-0.333952,-1.66976,-0.0558177,-0.280101,1,0.0166707,0.0239207,0,0.125,170,0
-0.334056,-1.67028,-0.054042,-0.282493,1,0.0167688,0.0240188,0,0.125,171,0
-0.33416,-1.6708,-0.0522663,-0.284886,1,0.0168668,0.0241168,0,0.125,172,0
-0.333867,-1.66933,-0.0502529,-0.287048,1,0.0169649,0.0242149,0,0.125,173,0
-0.333461,-1.6673,-0.0481713,-0.289145,1,0.017063,0.024313,0,0.125,174,0
-0.333055,-1.66527,-0.0460898,-0.291242,1,0.017161,0.024411,0,0.125,175,0
-0.332649,-1.66324,-0.0440082,-0.293339,1,0.0172591,0.0245091,0,0.125,176,0
-0.332219,-1.6611,-0.0419197,-0.295414,1,0.0173572,0.0246072,0,0.125,177,0
-0.33127,-1.65635,-0.0396659,-0.297004,1,0.0174552,0.0247052,0,0.125,178,0
-0.33032,-1.6516,-0.0374121,-0.298594,1,0.0175533,0.0248033,0,0.125,179,0
-0.32937,-1.64685,-0.0351583,-0.300184,1,0.0176513,0.0249013,0,0.125,180,0
-0.32842,-1.6421,-0.0329044,-0.301774,1,0.0177494,0.0249994,0,0.125,181,0
-0.327306,-1.63653,-0.0306676,-0.303242,1,0.0178475,0.0250975,0,0.125,182,0
-0.325816,-1.62908,-0.0284687,-0.304432,1,0.0179455,0.0251955,0,0.125,183,0
-0.324326,-1.62163,-0.0262697,-0.305622,1,0.0180436,0.0252936,0,0.125,184,0
-0.322837,-1.61418,-0.0240708,-0.306812,1,0.0181417,0.0253917,0,0.125,185,0
-0.321347,-1.60673,-0.0218719,-0.308002,1,0.0182397,0.0254897,0,0.125,186,0
-0.319554,-1.59777,-0.019886,-0.308909,1,0.0183378,0.0255878,0,0.125,187,0
-0.317529,-1.58765,-0.0180618,-0.3096,1,0.0184358,0.0256858,0,0.125,188,0
-0.315505,-1.57753,-0.0162375,-0.310291,1,0.0185339,0.0257839,0,0.125,189,0
-0.313481,-1.5674,-0.0144133,-0.310983,1,0.018632,0.025882,0,0.125,190,0
-0.311456,-1.55728,-0.0125891,-0.311674,1,0.01873,0.02598,0,0.125,191,0
-0.308986,-1.54493,-0.0112755,-0.311752,1,0.0188281,0.0260781,0,0.125,192,0
-0.306425,-1.53212,-0.0100647,-0.311707,1,0.0189262,0.0261762,0,0.125,193,0
-0.303864,-1.51932,-0.00885389,-0.311661,1,0.0190242,0.0262742,0,0.125,194,0
