k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.0931087,1,0.0184194,0.0574496,-0.0120687,0.125,302,0
0.09361,1,0.0184804,0.0574496,-0.0120077,0.125,303,0
0.0941113,1,0.0185414,0.0574496,-0.0119467,0.125,304,0
0.0946126,1,0.0186023,0.0574496,-0.0118858,0.125,305,0
0.095114,1,0.0186633,0.0574496,-0.0118248,0.125,306,0
0.0956532,1,0.0187243,0.0574496,-0.0117638,0.125,307,0
0.0962177,1,0.0187853,0.0574496,-0.0117028,0.125,308,0
0.0967822,1,0.0188463,0.0574496,-0.0116418,0.125,309,0
0.0973466,1,0.0189073,0.0574496,-0.0115808,0.125,310,0
0.0979111,1,0.0189683,0.0574496,-0.0115198,0.125,311,0
0.0984756,1,0.0190293,0.0574496,-0.0114588,0.125,312,0
0.0990401,1,0.0190903,0.0574496,-0.0113978,0.125,313,0
0.0996045,1,0.0191513,0.0574496,-0.0113368,0.125,314,0
0.100169,1,0.0192123,0.0574496,-0.0112758,0.125,315,0
0.100733,1,0.0192733,0.0574496,-0.0112148,0.125,316,0
0.101298,1,0.0193342,0.0574496,-0.0111539,0.125,317,0
0.101862,1,0.0193952,0.0574496,-0.0110929,0.125,318,0
0.102404,1,0.0194562,0.0574496,-0.0110319,0.125,319,0
0.102937,1,0.0195172,0.0574496,-0.0109709,0.125,320,0
0.103469,1,0.0195782,0.0574496,-0.0109099,0.125,321,0
0.104001,1,0.0196392,0.0574496,-0.0108489,0.125,322,0
0.104534,1,0.0197002,0.0574496,-0.0107879,0.125,323,0
0.105066,1,0.0197612,0.0574496,-0.0107269,0.125,324,0
0.105598,1,0.0198222,0.0574497,-0.0106659,0.125,325,0
0.106131,1,0.0198832,0.0574497,-0.0106049,0.125,326,0
0.106663,1,0.0199442,0.0574497,-0.0105439,0.125,327,0
0.107195,1,0.0200051,0.0574497,-0.010483,0.125,328,0
0.107727,1,0.0200661,0.0574497,-0.010422,0.125,329,0
0.108256,1,0.0201271,0.0574497,-0.010361,0.125,330,0
0.108723,1,0.0201881,0.0574497,-0.0103,0.125,331,0
0.109189,1,0.0202491,0.0574497,-0.010239,0.125,332,0
0.109655,1,0.0203101,0.0574497,-0.010178,0.125,333,0
0.110121,1,0.0203711,0.0574497,-0.010117,0.125,334,0
0.110587,1,0.0204321,0.0574497,-0.010056,0.125,335,0
0.111054,1,0.0204931,0.0574497,-0.00999502,0.125,336,0
0.11152,1,0.0205541,0.0574497,-0.00993403,0.125,337,0
0.111986,1,0.0206151,0.0574497,-0.00987304,0.125,338,0
0.112452,1,0.0206761,0.0574497,-0.00981205,0.125,339,0
0.112918,1,0.020737,0.0574497,-0.00975106,0.125,340,0
0.113385,1,0.020798,0.0574497,-0.00969007,0.125,341,0
0.113847,1,0.020859,0.0574497,-0.00962908,0.125,342,0
0.114304,1,0.02092,0.0574497,-0.00956808,0.125,343,0
0.114761,1,0.020981,0.0574497,-0.00950709,0.125,344,0
0.115218,1,0.021042,0.0574497,-0.0094461,0.125,345,0
0.115675,1,0.021103,0.0574497,-0.00938511,0.125,346,0
0.116132,1,0.021164,0.0574497,-0.00932412,0.125,347,0
0.11659,1,0.021225,0.0574497,-0.00926313,0.125,348,0
0.117047,1,0.021286,0.0574497,-0.00920214,0.125,349,0
0.117504,1,0.021347,0.0574497,-0.00914115,0.125,350,0
