Result,TKE[[m_s]²],U[m_s],V[m_s],W[m_s],vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Point ID
0.00151065,2.51776e-05,0.0589279,0.257886,4.91872,1,7.56,45,7.56,0,126
0.00153028,2.55046e-05,0.059333,0.25855,4.91647,1,7.62,45,7.62,0,127
0.0015499,2.58316e-05,0.0597381,0.259214,4.91422,1,7.68,45,7.68,0,128
0.00156952,2.61586e-05,0.0601433,0.259878,4.91198,1,7.74,45,7.74,0,129
0.00158914,2.64857e-05,0.0605484,0.260542,4.90973,1,7.8,45,7.8,0,130
0.00160876,2.68127e-05,0.0609535,0.261206,4.90749,1,7.86,45,7.86,0,131
0.00162838,2.71397e-05,0.0613586,0.26187,4.90524,1,7.92,45,7.92,0,132
0.001648,2.74667e-05,0.0617637,0.262534,4.90299,1,7.98,45,7.98,0,133
0.00167122,2.78536e-05,0.0621817,0.263173,4.90061,1,8.04,45,8.04,0,134
0.00169623,2.82704e-05,0.062606,0.2638,4.89815,1,8.1,45,8.1,0,135
0.00172123,2.86872e-05,0.0630304,0.264426,4.89569,1,8.16,45,8.16,0,136
0.00174624,2.91041e-05,0.0634547,0.265053,4.89323,1,8.22,45,8.22,0,137
0.00177125,2.95209e-05,0.0638791,0.26568,4.89078,1,8.28,45,8.28,0,138
0.00179626,2.99377e-05,0.0643034,0.266307,4.88832,1,8.34,45,8.34,0,139
0.00182127,3.03545e-05,0.0647277,0.266933,4.88586,1,8.4,45,8.4,0,140
0.00184628,3.07713e-05,0.0651521,0.26756,4.8834,1,8.46,45,8.46,0,141
0.00187129,3.11881e-05,0.0655764,0.268187,4.88094,1,8.52,45,8.52,0,142
0.0018963,3.16049e-05,0.0660008,0.268814,4.87849,1,8.58,45,8.58,0,143
0.00192131,3.20218e-05,0.0664251,0.26944,4.87603,1,8.64,45,8.64,0,144
0.00194631,3.24386e-05,0.0668495,0.270067,4.87357,1,8.7,45,8.7,0,145
0.00197132,3.28554e-05,0.0672738,0.270694,4.87111,1,8.76,45,8.76,0,146
0.00199633,3.32722e-05,0.0676982,0.271321,4.86865,1,8.82,45,8.82,0,147
0.00202134,3.3689e-05,0.0681225,0.271947,4.8662,1,8.88,45,8.88,0,148
0.00204635,3.41058e-05,0.0685468,0.272574,4.86374,1,8.94,45,8.94,0,149
