u_div,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.89373,4.46865,0.0829849,-0.00727744,1,0.0175533,0.0248033,0,0.125,179,0
0.885391,4.42695,0.0682604,-0.0106095,1,0.0176513,0.0249013,0,0.125,180,0
0.877051,4.38526,0.053536,-0.0139415,1,0.0177494,0.0249994,0,0.125,181,0
0.870324,4.35162,0.04523,-0.0168601,1,0.0178475,0.0250975,0,0.125,182,0
0.867277,4.33639,0.0515817,-0.0188352,1,0.0179455,0.0251955,0,0.125,183,0
0.864231,4.32115,0.0579333,-0.0208102,1,0.0180436,0.0252936,0,0.125,184,0
0.861184,4.30592,0.0642849,-0.0227852,1,0.0181417,0.0253917,0,0.125,185,0
0.858138,4.29069,0.0706365,-0.0247603,1,0.0182397,0.0254897,0,0.125,186,0
0.856157,4.28079,0.0746838,-0.0258152,1,0.0183378,0.0255878,0,0.125,187,0
0.854987,4.27494,0.0769772,-0.0261698,1,0.0184358,0.0256858,0,0.125,188,0
0.853817,4.26909,0.0792707,-0.0265244,1,0.0185339,0.0257839,0,0.125,189,0
0.852647,4.26324,0.0815641,-0.026879,1,0.018632,0.025882,0,0.125,190,0
0.851477,4.25739,0.0838575,-0.0272336,1,0.01873,0.02598,0,0.125,191,0
0.831685,4.15843,0.0749664,-0.034919,1,0.0188281,0.0260781,0,0.125,192,0
0.808134,4.04067,0.0638185,-0.0440841,1,0.0189262,0.0261762,0,0.125,193,0
0.784582,3.92291,0.0526704,-0.0532493,1,0.0190242,0.0262742,0,0.125,194,0
0.761031,3.80515,0.0415225,-0.0624143,1,0.0191223,0.0263723,0,0.125,195,0
0.738899,3.69449,0.0323008,-0.0711033,1,0.0192203,0.0264703,0,0.125,196,0
0.730244,3.65122,0.0413725,-0.0752714,1,0.0193184,0.0265684,0,0.125,197,0
0.72159,3.60795,0.0504442,-0.0794396,1,0.0194165,0.0266665,0,0.125,198,0
0.712936,3.56468,0.0595159,-0.0836077,1,0.0195145,0.0267645,0,0.125,199,0
0.704281,3.52141,0.0685877,-0.0877759,1,0.0196126,0.0268626,0,0.125,200,0
0.707231,3.53615,0.0853538,-0.0862041,1,0.0197107,0.0269607,0,0.125,201,0
0.730939,3.65469,0.115885,-0.0743639,1,0.0198087,0.0270587,0,0.125,202,0
0.754647,3.77323,0.146416,-0.0625236,1,0.0199068,0.0271568,0,0.125,203,0
0.778355,3.89177,0.176947,-0.0506834,1,0.0200049,0.0272549,0,0.125,204,0
0.802063,4.01031,0.207478,-0.0388431,1,0.0201029,0.0273529,0,0.125,205,0
0.820894,4.10447,0.223349,-0.0283633,1,0.020201,0.027451,0,0.125,206,0
0.836745,4.18372,0.230265,-0.0187149,1,0.020299,0.027549,0,0.125,207,0
0.852596,4.26298,0.237182,-0.00906654,1,0.0203971,0.0276471,0,0.125,208,0
0.868447,4.34224,0.244098,0.000581866,1,0.0204952,0.0277452,0,0.125,209,0
0.884298,4.42149,0.251015,0.0102303,1,0.0205932,0.0278432,0,0.125,210,0
0.898336,4.49168,0.249581,0.0122972,1,0.0206913,0.0279413,0,0.125,211,0
0.912135,4.56067,0.247052,0.0133698,1,0.0207894,0.0280394,0,0.125,212,0
0.925934,4.62967,0.244522,0.0144422,1,0.0208874,0.0281374,0,0.125,213,0
0.939733,4.69867,0.241993,0.0155147,1,0.0209855,0.0282355,0,0.125,214,0
0.949469,4.74735,0.237853,0.0150981,1,0.0210835,0.0283335,0,0.125,215,0
0.935682,4.67841,0.224384,0.00606054,1,0.0211816,0.0284316,0,0.125,216,0
0.921895,4.60948,0.210916,-0.00297703,1,0.0212797,0.0285297,0,0.125,217,0
0.908108,4.54054,0.197447,-0.0120148,1,0.0213777,0.0286277,0,0.125,218,0
0.894321,4.4716,0.183978,-0.0210523,1,0.0214758,0.0287258,0,0.125,219,0
0.883353,4.41677,0.174319,-0.0279463,1,0.0215739,0.0288239,0,0.125,220,0
0.87645,4.38225,0.170153,-0.0317497,1,0.0216719,0.0289219,0,0.125,221,0
0.869546,4.34773,0.165986,-0.0355531,1,0.02177,0.02902,0,0.125,222,0
0.862643,4.31321,0.16182,-0.0393566,1,0.0218681,0.029118,0,0.125,223,0
0.855739,4.2787,0.157653,-0.04316,1,0.0219661,0.0292161,0,0.125,224,0
0.853169,4.26585,0.156603,-0.0442171,1,0.0220642,0.0293142,0,0.125,225,0
0.852716,4.26358,0.157076,-0.0439324,1,0.0221622,0.0294122,0,0.125,226,0
0.852263,4.26131,0.157548,-0.0436477,1,0.0222603,0.0295103,0,0.125,227,0
0.85181,4.25905,0.158021,-0.0433629,1,0.0223584,0.0296084,0,0.125,228,0
0.851357,4.25678,0.158494,-0.0430782,1,0.0224564,0.0297064,0,0.125,229,0
0.84566,4.2283,0.163633,-0.0438542,1,0.0225545,0.0298045,0,0.125,230,0
0.839592,4.19796,0.169102,-0.0447051,1,0.0226526,0.0299026,0,0.125,231,0
0.833525,4.16762,0.174571,-0.045556,1,0.0227506,0.0300006,0,0.125,232,0
0.827457,4.13729,0.180041,-0.0464069,1,0.0228487,0.0300987,0,0.125,233,0
0.821981,4.10991,0.18461,-0.0473708,1,0.0229467,0.0301967,0,0.125,234,0
