k,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.133841,1,0.0144763,0.0219763,0,0.125,148,0
0.135239,1,0.0145741,0.0220741,0,0.125,149,0
0.136637,1,0.0146719,0.0221719,0,0.125,150,0
0.138034,1,0.0147698,0.0222698,0,0.125,151,0
0.139432,1,0.0148676,0.0223676,0,0.125,152,0
0.140842,1,0.0149654,0.0224654,0,0.125,153,0
0.142289,1,0.0150632,0.0225632,0,0.125,154,0
0.143735,1,0.015161,0.022661,0,0.125,155,0
0.145182,1,0.0152588,0.0227588,0,0.125,156,0
0.146629,1,0.0153566,0.0228566,0,0.125,157,0
0.148075,1,0.0154545,0.0229545,0,0.125,158,0
0.149571,1,0.0155523,0.0230523,0,0.125,159,0
0.151097,1,0.0156501,0.0231501,0,0.125,160,0
0.152623,1,0.0157479,0.0232479,0,0.125,161,0
0.154149,1,0.0158457,0.0233457,0,0.125,162,0
0.155675,1,0.0159435,0.0234435,0,0.125,163,0
0.157201,1,0.0160413,0.0235413,0,0.125,164,0
0.158829,1,0.0161391,0.0236391,0,0.125,165,0
0.160457,1,0.016237,0.023737,0,0.125,166,0
0.162086,1,0.0163348,0.0238348,0,0.125,167,0
0.163714,1,0.0164326,0.0239326,0,0.125,168,0
0.165342,1,0.0165304,0.0240304,0,0.125,169,0
0.166992,1,0.0166282,0.0241282,0,0.125,170,0
0.168675,1,0.016726,0.024226,0,0.125,171,0
0.170358,1,0.0168238,0.0243238,0,0.125,172,0
0.172041,1,0.0169216,0.0244216,0,0.125,173,0
0.173724,1,0.0170195,0.0245195,0,0.125,174,0
0.175407,1,0.0171173,0.0246173,0,0.125,175,0
0.177083,1,0.0172151,0.0247151,0,0.125,176,0
0.178758,1,0.0173129,0.0248129,0,0.125,177,0
0.180434,1,0.0174107,0.0249107,0,0.125,178,0
0.182109,1,0.0175085,0.0250085,0,0.125,179,0
0.183784,1,0.0176063,0.0251063,0,0.125,180,0
0.185452,1,0.0177042,0.0252042,0,0.125,181,0
0.187087,1,0.017802,0.025302,0,0.125,182,0
0.188722,1,0.0178998,0.0253998,0,0.125,183,0
0.190358,1,0.0179976,0.0254976,0,0.125,184,0
0.191993,1,0.0180954,0.0255954,0,0.125,185,0
0.193628,1,0.0181932,0.0256932,0,0.125,186,0
0.195242,1,0.018291,0.025791,0,0.125,187,0
0.19684,1,0.0183888,0.0258888,0,0.125,188,0
0.198437,1,0.0184867,0.0259867,0,0.125,189,0
0.200035,1,0.0185845,0.0260845,0,0.125,190,0
0.201633,1,0.0186823,0.0261823,0,0.125,191,0
0.20323,1,0.0187801,0.0262801,0,0.125,192,0
0.204786,1,0.0188779,0.0263779,0,0.125,193,0
0.20634,1,0.0189757,0.0264757,0,0.125,194,0
0.207893,1,0.0190735,0.0265735,0,0.125,195,0
0.209447,1,0.0191713,0.0266713,0,0.125,196,0
0.211,1,0.0192692,0.0267692,0,0.125,197,0
0.212529,1,0.019367,0.026867,0,0.125,198,0
0.214009,1,0.0194648,0.0269648,0,0.125,199,0
0.215488,1,0.0195626,0.0270626,0,0.125,200,0
0.216968,1,0.0196604,0.0271604,0,0.125,201,0
0.218448,1,0.0197582,0.0272582,0,0.125,202,0
0.219927,1,0.019856,0.027356,0,0.125,203,0
0.221319,1,0.0199539,0.0274539,0,0.125,204,0
0.222678,1,0.0200517,0.0275517,0,0.125,205,0
0.224037,1,0.0201495,0.0276495,0,0.125,206,0
0.225395,1,0.0202473,0.0277473,0,0.125,207,0
0.226754,1,0.0203451,0.0278451,0,0.125,208,0
0.228076,1,0.0204429,0.0279429,0,0.125,209,0
0.229109,1,0.0205407,0.0280407,0,0.125,210,0
0.230141,1,0.0206385,0.0281385,0,0.125,211,0
0.231174,1,0.0207364,0.0282364,0,0.125,212,0
0.232207,1,0.0208342,0.0283342,0,0.125,213,0
0.233239,1,0.020932,0.028432,0,0.125,214,0
0.234302,1,0.0210298,0.0285298,0,0.125,215,0
0.235394,1,0.0211276,0.0286276,0,0.125,216,0
0.236487,1,0.0212254,0.0287254,0,0.125,217,0
0.237579,1,0.0213232,0.0288232,0,0.125,218,0
0.238671,1,0.021421,0.028921,0,0.125,219,0
0.239764,1,0.0215189,0.0290189,0,0.125,220,0
0.24084,1,0.0216167,0.0291167,0,0.125,221,0
0.241914,1,0.0217145,0.0292145,0,0.125,222,0
0.242988,1,0.0218123,0.0293123,0,0.125,223,0
0.244062,1,0.0219101,0.0294101,0,0.125,224,0
0.245136,1,0.0220079,0.0295079,0,0.125,225,0
0.246122,1,0.0221057,0.0296057,0,0.125,226,0
0.246884,1,0.0222036,0.0297036,0,0.125,227,0
0.247647,1,0.0223014,0.0298014,0,0.125,228,0
0.248409,1,0.0223992,0.0298992,0,0.125,229,0
0.249171,1,0.022497,0.029997,0,0.125,230,0
0.249933,1,0.0225948,0.0300948,0,0.125,231,0
0.250584,1,0.0226926,0.0301926,0,0.125,232,0
0.251179,1,0.0227904,0.0302904,0,0.125,233,0
0.251774,1,0.0228882,0.0303882,0,0.125,234,0
0.252369,1,0.0229861,0.0304861,0,0.125,235,0
0.252964,1,0.0230839,0.0305839,0,0.125,236,0
0.253549,1,0.0231817,0.0306817,0,0.125,237,0
0.253972,1,0.0232795,0.0307795,0,0.125,238,0
0.254394,1,0.0233773,0.0308773,0,0.125,239,0
0.254816,1,0.0234751,0.0309751,0,0.125,240,0
0.255238,1,0.0235729,0.0310729,0,0.125,241,0
0.25566,1,0.0236707,0.0311707,0,0.125,242,0
0.255998,1,0.0237686,0.0312686,0,0.125,243,0
0.256232,1,0.0238664,0.0313664,0,0.125,244,0
0.256467,1,0.0239642,0.0314642,0,0.125,245,0
0.256701,1,0.024062,0.031562,0,0.125,246,0
0.256935,1,0.0241598,0.0316598,0,0.125,247,0
0.257169,1,0.0242576,0.0317576,0,0.125,248,0
0.257262,1,0.0243554,0.0318554,0,0.125,249,0
