t,	etaU
252.372,	1.62099
252.705,	1.40707
253.038,	1.28465
253.371,	1.28973
253.704,	1.31611
254.037,	1.51613
254.37,	1.81293
254.703,	1.95536
255.036,	2.0233
255.369,	2.06272
255.702,	2.01777
256.035,	1.87823
256.368,	1.50348
256.701,	0.99236
257.033,	0.728527
257.366,	0.756461
257.699,	0.875242
258.032,	0.989861
258.365,	1.00655
258.698,	0.951854
259.031,	0.982819
259.364,	1.25928
259.697,	1.68508
260.03,	1.94094
260.363,	1.78013
260.696,	1.3093
261.029,	0.883384
261.362,	0.696165
261.695,	0.673913
262.028,	0.770911
262.361,	0.942439
262.694,	1.04463
263.026,	1.06053
263.359,	1.1109
263.692,	1.28779
264.025,	1.52182
264.358,	1.59984
264.691,	1.41052
265.024,	1.07613
265.357,	0.78416
265.69,	0.658262
266.023,	0.668881
266.356,	0.721606
266.689,	0.820876
267.022,	0.979436
267.355,	1.1126
267.688,	1.1774
268.021,	1.13349
268.354,	0.988074
268.687,	0.853964
269.019,	0.874765
269.352,	1.01416
269.685,	1.12882
270.018,	1.20394
270.351,	1.26101
270.684,	1.2796
271.017,	1.22955
271.35,	1.09809
271.683,	1.07681
272.016,	1.31675
272.349,	1.6129
272.682,	1.72858
273.015,	1.67082
273.348,	1.5854
273.681,	1.47324
274.014,	1.26937
274.347,	1.04952
274.68,	0.923067
275.012,	0.874146
275.345,	0.802803
275.678,	0.669778
276.011,	0.655509
276.344,	0.832177
276.677,	1.03621
277.01,	1.06322
277.343,	0.850306
277.676,	0.565382
278.009,	0.423445
278.342,	0.50128
278.675,	0.677518
279.008,	0.807902
279.341,	0.816425
279.674,	0.731714
280.007,	0.669195
280.34,	0.666883
280.673,	0.636787
281.005,	0.558904
281.338,	0.559815
281.671,	0.685298
282.004,	0.871519
282.337,	1.00299
282.67,	1.06536
283.003,	1.17319
283.336,	1.34659
283.669,	1.41154
284.002,	1.3136
284.335,	1.20619
284.668,	1.15424
285.001,	1.13157
285.334,	1.02742
285.667,	0.894984
286,	0.910287
286.333,	1.01062
286.666,	0.96153
286.999,	0.706311
287.331,	0.397163
287.664,	0.311066
287.997,	0.522219
288.33,	0.801607
288.663,	0.950608
288.996,	0.990261
289.329,	1.01848
289.662,	1.06011
289.995,	1.07925
290.328,	0.991505
290.661,	0.808043
290.994,	0.672781
291.327,	0.653077
291.66,	0.685694
291.993,	0.780914
292.326,	0.941309
292.659,	1.10158
292.992,	1.20208
293.324,	1.15092
293.657,	0.941348
293.99,	0.855346
294.323,	1.03976
294.656,	1.32145
294.989,	1.442
295.322,	1.21367
295.655,	0.786464
295.988,	0.478202
296.321,	0.369494
296.654,	0.357804
296.987,	0.355263
297.32,	0.330132
297.653,	0.451048
297.986,	0.812555
298.319,	1.25347
298.652,	1.56057
298.985,	1.59939
299.317,	1.3989
299.65,	1.18825
299.983,	1.04812
300.316,	0.875289
300.649,	0.645858
300.982,	0.449394
301.315,	0.430247
301.648,	0.54787
301.981,	0.60312
302.314,	0.484024
302.647,	0.328535
302.98,	0.312405
303.313,	0.453594
303.646,	0.611245
303.979,	0.67826
304.312,	0.660221
304.645,	0.637908
304.978,	0.666241
305.31,	0.750751
305.643,	0.845532
305.976,	0.847722
306.309,	0.726839
306.642,	0.619722
306.975,	0.624358
307.308,	0.718087
307.641,	0.80315
307.974,	0.771324
308.307,	0.695614
308.64,	0.68671
308.973,	0.695558
309.306,	0.677417
309.639,	0.625137
309.972,	0.585485
310.305,	0.627539
310.638,	0.683824
310.971,	0.69176
311.303,	0.655529
311.636,	0.581558
