t	etaU
318.333	0.179583
318.889	0.0828652
319.444	0.149955
320	0.15513
320.556	0.0706857
321.111	0.233248
321.667	0.301006
322.222	0.195193
322.778	0.0931611
323.333	0.166452
323.889	0.496224
324.444	0.033844
325	0.168696
325.556	0.384733
326.111	0.0149523
326.667	0.108206
327.222	0.400515
327.778	0.0600065
328.333	0.0611434
328.889	0.105802
329.444	0.0831394
330	0.659053
330.556	0.458017
331.111	0.0481496
331.667	0.4226
332.222	0.175657
332.778	0.088369
333.333	0.0185
333.889	0.36026
334.444	0.274165
335	0.0865986
335.556	0.127904
336.111	0.376921
336.667	0.160069
337.222	0.0423354
337.778	0.0746105
338.333	0.181433
338.889	0.0277723
339.444	0.0642485
340	0.142775
340.556	0.204816
341.111	0.21076
341.667	0.320803
342.222	0.226716
342.778	0.115892
343.333	0.239003
343.889	0.0722571
344.444	0.0603116
345	0.102917
345.556	0.135751
346.111	0.221931
346.667	0.0135274
347.222	0.0226897
347.778	0.0347989
348.333	0.352836
348.889	0.0319763
349.444	0.05283
350	0.0720562
350.556	0.023721
351.111	0.112761
351.667	0.191056
352.222	0.0665819
352.778	0.0677867
353.333	0.214309
353.889	0.0130201
354.444	0.0285356
355	0.0762984
355.556	0.094796
356.111	0.0958846
356.667	0.244797
357.222	0.347883
357.778	0.260342
358.333	0.125126
358.889	0.109821
359.444	0.120836
360	0.183655
360.556	0.14752
361.111	0.107822
361.667	0.0546012
362.222	0.245605
362.778	0.147917
363.333	0.107519
363.889	0.096721
364.444	0.23255
365	0.302682
365.556	0.101288
366.111	0.262737
366.667	0.22969
367.222	0.275662
367.778	0.0737049
368.333	0.152965
368.889	0.0329309
369.444	0.0231905
370	0.0434078
370.556	0.200014
371.111	0.108502
371.667	0.0810198
372.222	0.131157
372.778	0.0381073
373.333	0.0407606
373.889	0.112731
374.444	0.125958
375	0.00420331
375.556	0.253846
376.111	0.133216
376.667	0.0992135
377.222	0.143674
377.778	0.0391417
378.333	0.162798
378.889	0.171155
379.444	0.0343552
380	0.0441483
380.556	0.158642
381.111	0.0355902
381.667	0.0189551
382.222	0.0704948
382.778	0.23354
383.333	0.0912259
383.889	0.210555
384.444	0.0879088
385	0.171871
385.556	0.19653
386.111	0.0305229
386.667	0.0413844
387.222	0.0674302
387.778	0.199559
388.333	0.053441
388.889	0.0472322
389.444	0.069771
390	0.0309877
390.556	0.018978
391.111	0.133687
391.667	0.150148
392.222	0.129018
392.778	0.0122957
393.333	0.0137055
393.889	0.0329046
394.444	0.0998456
395	0.0078819
395.556	0.102577
396.111	0.00526546
396.667	0.0783977
397.222	0.0118644
397.778	0.102207
398.333	0.223217
398.889	0.0254581
399.444	0.124401
400	0.0253223
400.556	0.0947854
401.111	0.0608472
401.667	0.173284
402.222	0.164157
402.778	0.0905086
403.333	0.0307519
403.889	0.0146197
404.444	0.0791742
405	0.265593
405.556	0.11788
406.111	0.0413693
406.667	0.133093
407.222	0.0773079
407.778	0.221694
408.333	0.00439472
408.889	0.13418
409.444	0.0439259
410	0.162276
410.556	0.0541862
411.111	0.0902429
411.667	0.0119095
412.222	0.234603
412.778	0.127249
413.333	0.13361
413.889	0.0440643
414.444	0.0262733
415	0.125727
415.556	0.122641
416.111	0.0222892
416.667	0.0300634
417.222	0.0601286
417.778	0.00213205
418.333	0.205698
418.889	0.0575228
419.444	0.131632
420	0.083182
420.556	0.0627964
421.111	0.29628
421.667	0.0829612
422.222	0.0564637
422.778	0.137506
423.333	0.063608
423.889	0.0503317
424.444	0.016886
425	0.035346
425.556	0.236492
426.111	0.0174016
426.667	0.0652255
427.222	0.101217
427.778	0.0667842
428.333	0.109072
428.889	0.136443
429.444	0.05495
430	0.0705997
430.556	0.0319177
431.111	0.0789135
431.667	0.0128068
432.222	0.0748591
432.778	0.0821274
433.333	0.0532375
433.889	0.189423
434.444	0.0747435
435	0.0677265
435.556	0.0721847
436.111	0.0208781
436.667	0.0652804
437.222	0.107819
437.778	0.00279809
438.333	0.0272667
438.889	0.125729
439.444	0.0767492
440	0.0288386
440.556	0.0306469
441.111	0.0845151
441.667	0.0210533
442.222	0.0612463
442.778	0.0472922
443.333	0.0668045
443.889	0.0545257
444.444	0.0527836
445	0.0103424
445.556	0.0465126
446.111	0.00169917
446.667	0.0594704
447.222	0.0630362
447.778	0.0750963
448.333	0.0348625
448.889	0.0964421
449.444	0.191655
450	0.0364071
450.556	0.101786
451.111	0.0176623
451.667	0.0151988
452.222	0.0532074
452.778	0.00523904
453.333	0.0196437
453.889	0.00548487
454.444	0.0108559
455	0.107816
455.556	0.12386
456.111	0.0168818
456.667	0.0103276
457.222	0.0573433
457.778	0.0993719
458.333	0.080846
458.889	0.0390779
459.444	0.0709938
460	0.0731689
460.556	0.105075
461.111	0.0527201
461.667	0.00555546
462.222	0.00134049
462.778	0.0658543
463.333	0.00543594
463.889	0.0440197
464.444	0.129893
465	0.0958742
465.556	0.132182
466.111	0.00998477
466.667	0.0287083
467.222	0.0473643
467.778	0.0395597
468.333	0.0317327
468.889	0.0370106
469.444	0.0269218
470	0.0445958
470.556	0.061653
471.111	0.0528347
471.667	0.0750438
472.222	0.0135266
472.778	0.145732
473.333	0.0826184
473.889	0.0528467
474.444	0.03314
475	0.00684771
475.556	0.109233
476.111	0.0175488
476.667	0.0752463
477.222	0.0168854
477.778	0.0308591
478.333	0.0588322
478.889	0.0392053
479.444	0.0978498
480	0.0803869
480.556	0.085055
481.111	0.0378531
481.667	0.00118155
482.222	0.0291596
482.778	0.0336146
483.333	0.058755
483.889	0.0755983
484.444	0.0886677
485	0.0167389
485.556	0.0830101
486.111	0.148474
486.667	0.0123587
487.222	0.0942771
487.778	0.0369918
488.333	0.0302009
488.889	0.0245976
489.444	0.095003
490	0.0012705
490.556	0.0459512
491.111	0.14385
491.667	0.0120481
492.222	0.0533283
492.778	0.00121662
493.333	0.0212532
493.889	0.0364985
494.444	0.128778
495	0.0269102
495.556	0.0593469
496.111	0.0650758
496.667	0.0186001
497.222	0.045766
497.778	0.0335564
