t,	etaU
275.021,	13.3691
275.575,	11.4589
276.13,	8.02161
276.684,	5.9365
277.239,	8.0852
277.793,	12.6474
278.348,	15.1668
278.902,	13.8524
279.457,	10.1616
280.011,	7.4688
280.566,	8.07662
281.12,	10.0358
281.675,	10.6095
282.229,	9.60092
282.783,	7.99166
283.338,	7.03928
283.892,	7.43216
284.447,	8.13631
285.001,	8.70078
285.556,	10.2412
286.11,	12.2517
286.665,	13.0719
287.219,	12.0497
287.774,	9.41892
288.328,	6.85113
288.883,	6.48125
289.437,	7.58117
289.992,	9.20614
290.546,	10.6967
291.101,	11.0371
291.655,	10.3896
292.21,	9.38127
292.764,	7.96956
293.319,	6.96914
293.873,	7.68754
294.428,	9.84012
294.982,	11.4888
295.536,	11.0837
296.091,	8.79859
296.645,	6.67207
297.2,	6.45991
297.754,	6.9524
298.309,	6.58267
298.863,	5.57985
299.418,	4.81362
299.972,	4.8646
300.527,	5.1033
301.081,	5.26979
301.636,	6.41411
302.19,	8.26359
302.745,	9.67254
303.299,	10.186
303.854,	9.76667
304.408,	9.16289
304.963,	9.16774
305.517,	9.09563
306.072,	8.45865
306.626,	7.23163
307.18,	5.2884
307.735,	3.95476
308.289,	4.33486
308.844,	5.13316
309.398,	5.02532
309.953,	4.23405
310.507,	3.50799
311.062,	3.50445
311.616,	3.84914
312.171,	4.06458
312.725,	4.81587
313.28,	6.13391
313.834,	7.21163
314.389,	7.87958
314.943,	8.16907
315.498,	7.83726
316.052,	6.73397
316.607,	5.0242
317.161,	3.6217
317.716,	3.72477
318.27,	5.33201
318.825,	7.25717
319.379,	8.27598
319.933,	7.92394
320.488,	7.08193
321.042,	6.58919
321.597,	6.00789
322.151,	5.21421
322.706,	4.66816
323.26,	4.50499
323.815,	4.67197
324.369,	4.87301
324.924,	5.05921
325.478,	5.38874
326.033,	5.77386
326.587,	6.26094
327.142,	6.89766
327.696,	7.21781
328.251,	6.72912
328.805,	5.51639
329.36,	5.10709
329.914,	6.46879
330.469,	8.28764
331.023,	9.00813
331.577,	7.97267
332.132,	5.936
332.686,	4.56023
333.241,	4.53689
333.795,	5.35942
334.35,	6.28684
334.904,	6.81689
335.459,	7.10481
336.013,	7.24725
336.568,	7.40715
337.122,	7.39053
337.677,	6.76822
338.231,	5.60516
338.786,	4.28873
339.34,	3.67103
339.895,	3.86463
340.449,	4.21447
341.004,	4.41807
341.558,	4.61055
342.113,	5.25214
342.667,	6.23984
343.222,	6.43479
343.776,	5.52077
344.33,	4.22657
344.885,	3.41493
345.439,	3.58673
345.994,	4.2209
346.548,	5.01641
347.103,	5.87343
347.657,	6.36698
348.212,	6.42547
348.766,	6.33858
349.321,	6.0322
349.875,	5.45873
350.43,	4.73525
350.984,	3.92116
351.539,	3.72141
352.093,	4.5996
352.648,	5.66773
353.202,	5.79143
353.757,	4.77889
354.311,	3.42419
354.866,	3.02625
355.42,	3.75382
355.974,	4.45774
356.529,	4.16042
357.083,	3.48496
357.638,	3.85235
358.192,	5.45862
358.747,	7.08748
359.301,	7.08233
359.856,	5.06539
360.41,	2.9019
360.965,	2.19278
361.519,	2.61735
362.074,	3.08053
362.628,	3.10857
363.183,	3.36567
363.737,	4.45505
364.292,	5.69474
364.846,	6.39765
365.401,	6.62618
365.955,	6.53841
366.51,	6.09852
367.064,	5.03077
367.619,	3.72876
368.173,	3.21675
368.727,	3.79719
369.282,	4.76642
369.836,	5.31534
370.391,	5.15056
370.945,	4.5275
371.5,	3.94897
372.054,	3.70651
372.609,	3.78399
373.163,	4.13837
373.718,	4.86004
374.272,	5.55885
374.827,	5.45564
375.381,	4.377
375.936,	2.90889
376.49,	1.7425
377.045,	1.47391
377.599,	2.03773
378.154,	2.98193
378.708,	3.96908
379.263,	4.33625
379.817,	3.99437
380.371,	3.4972
380.926,	3.39023
381.48,	4.12299
382.035,	5.56331
382.589,	6.74468
383.144,	6.75629
383.698,	5.50556
384.253,	3.78903
384.807,	2.58214
385.362,	2.28731
385.916,	2.83764
386.471,	3.73886
387.025,	4.212
387.58,	3.85902
388.134,	2.96942
388.689,	2.23415
389.243,	2.07379
389.798,	2.07537
390.352,	1.88432
390.907,	1.72571
391.461,	1.65387
392.016,	1.62206
392.57,	1.85781
393.124,	2.51926
393.679,	3.3806
394.233,	3.81831
394.788,	3.44588
395.342,	2.5703
395.897,	1.95278
396.451,	2.05192
397.006,	2.41579
397.56,	2.99899
398.115,	3.97315
398.669,	4.62976
399.224,	4.32952
399.778,	3.22939
400.333,	2.05553
400.887,	1.64426
401.442,	2.01574
401.996,	2.41953
402.551,	2.61694
403.105,	2.81246
403.66,	2.85775
404.214,	2.45915
404.769,	1.89325
405.323,	1.65305
405.877,	2.05137
406.432,	2.70781
406.986,	2.83768
407.541,	2.61348
408.095,	2.72483
408.65,	3.38855
409.204,	4.05191
409.759,	4.16132
410.313,	3.85727
410.868,	3.56487
411.422,	3.26443
411.977,	2.75232
412.531,	2.25328
413.086,	2.26834
413.64,	2.79562
414.195,	3.33305
414.749,	3.39386
415.304,	3.11045
415.858,	2.95881
416.413,	2.83638
416.967,	2.76051
417.521,	2.89439
418.076,	3.06638
418.63,	3.17964
419.185,	3.02137
419.739,	2.48638
420.294,	1.98412
420.848,	1.6261
421.403,	1.60816
421.957,	2.35244
422.512,	3.52794
423.066,	4.19654
423.621,	3.83166
424.175,	2.80825
424.73,	2.03864
425.284,	2.07348
425.839,	2.51138
426.393,	2.67735
426.948,	2.57441
427.502,	2.39849
428.057,	2.15351
428.611,	1.82016
429.166,	1.29809
429.72,	0.889159
430.274,	0.949615
430.829,	1.43069
431.383,	1.99878
431.938,	2.30808
432.492,	2.26914
433.047,	2.10876
433.601,	1.96342
434.156,	1.84439
434.71,	1.78508
435.265,	1.80689
435.819,	1.87847
436.374,	1.97355
436.928,	2.19394
437.483,	2.56066
438.037,	3.06293
438.592,	3.3276
439.146,	2.93839
439.701,	2.23239
440.255,	1.78541
440.81,	1.78871
441.364,	2.09761
441.918,	2.56859
442.473,	2.96496
443.027,	2.94428
443.582,	2.49347
444.136,	2.00291
444.691,	2.01254
445.245,	2.58914
445.8,	3.04069
446.354,	2.96681
446.909,	2.70976
447.463,	2.63083
448.018,	2.76924
448.572,	2.726
449.127,	2.68538
449.681,	3.01829
450.236,	3.37743
450.79,	3.33501
451.345,	2.65666
451.899,	1.55894
452.454,	0.729329
453.008,	0.368276
453.563,	0.418292
454.117,	0.911059
454.671,	1.71927
455.226,	2.54361
455.78,	2.85356
456.335,	2.60977
456.889,	2.28613
457.444,	2.15757
457.998,	2.15253
458.553,	2.097
459.107,	2.09482
459.662,	2.38259
460.216,	2.73468
460.771,	2.79348
461.325,	2.47038
461.88,	2.14683
462.434,	2.16027
462.989,	2.35339
463.543,	2.55198
464.098,	2.61196
464.652,	2.33366
465.207,	1.75825
465.761,	1.22516
466.315,	1.15443
466.87,	1.61093
467.424,	2.14933
467.979,	2.36052
