t,	etaU
285.072,	1.39278
285.571,	1.43239
286.07,	1.26445
286.569,	1.00934
287.069,	0.776837
287.568,	0.722723
288.067,	0.988898
288.566,	1.41537
289.066,	1.70438
289.565,	1.70135
290.064,	1.45018
290.563,	1.12598
291.063,	0.858044
291.562,	0.66992
292.061,	0.579662
292.56,	0.584709
293.06,	0.631377
293.559,	0.655654
294.058,	0.763985
294.557,	0.993352
295.057,	1.21738
295.556,	1.30397
296.055,	1.20857
296.554,	0.96049
297.054,	0.714574
297.553,	0.645769
298.052,	0.705864
298.551,	0.73081
299.051,	0.736552
299.55,	0.844401
300.049,	1.04862
300.548,	1.26382
301.048,	1.27966
301.547,	1.01558
302.046,	0.730005
302.545,	0.593889
303.045,	0.536502
303.544,	0.55151
304.043,	0.602332
304.542,	0.67486
305.042,	0.794691
305.541,	0.864268
306.04,	0.900789
306.539,	1.05541
307.039,	1.31364
307.538,	1.54072
308.037,	1.65781
308.536,	1.61103
309.036,	1.47188
309.535,	1.30873
310.034,	1.20518
310.533,	1.24223
311.033,	1.36127
311.532,	1.48833
312.031,	1.58616
312.53,	1.61923
313.03,	1.5805
313.529,	1.54613
314.028,	1.59199
314.527,	1.76127
315.027,	1.91813
315.526,	1.87667
316.025,	1.72712
316.524,	1.73771
317.024,	1.84769
317.523,	1.76548
318.022,	1.48208
318.521,	1.1585
319.021,	0.996775
319.52,	1.01568
320.019,	1.09301
320.518,	1.31152
321.018,	1.64121
321.517,	1.73438
322.016,	1.47905
322.515,	1.12018
323.015,	0.90617
323.514,	0.928829
324.013,	1.08027
324.512,	1.2122
325.012,	1.23323
325.511,	1.12484
326.01,	0.959532
326.509,	0.863157
327.009,	0.90365
327.508,	1.00506
328.007,	1.04501
328.506,	0.994134
329.006,	0.846973
329.505,	0.643271
330.004,	0.493972
330.503,	0.424961
331.003,	0.394468
331.502,	0.553911
332.001,	0.94095
332.5,	1.33215
333,	1.4816
333.499,	1.26379
333.998,	1.00355
334.497,	1.04375
334.997,	1.19128
335.496,	1.2032
335.995,	1.0226
336.494,	0.74584
336.994,	0.625877
337.493,	0.79074
337.992,	1.13484
338.491,	1.44231
338.991,	1.5999
339.49,	1.68136
339.989,	1.73661
340.488,	1.74927
340.988,	1.67658
341.487,	1.54808
341.986,	1.4723
342.485,	1.42383
342.985,	1.37197
343.484,	1.39226
343.983,	1.63965
344.482,	1.92346
344.982,	1.84299
345.481,	1.61908
345.98,	1.75009
346.479,	2.18419
346.979,	2.69111
347.478,	3.13109
347.977,	3.30143
348.476,	3.25689
348.976,	2.93449
349.475,	2.2073
349.974,	1.4356
350.473,	0.928061
350.973,	0.620949
351.472,	0.482112
351.971,	0.534982
352.47,	0.69994
352.97,	0.805234
353.469,	0.719515
353.968,	0.582902
354.467,	0.62197
354.967,	0.856569
355.466,	1.05044
355.965,	0.992502
356.464,	0.801904
356.964,	0.749747
357.463,	0.940187
357.962,	1.17408
358.461,	1.22838
358.961,	1.16407
359.46,	1.15438
359.959,	1.20246
360.458,	1.22703
360.958,	1.28505
361.457,	1.55985
361.956,	2.13477
362.455,	2.60279
362.955,	2.60426
363.454,	2.2839
363.953,	1.92632
364.452,	1.63581
364.952,	1.3803
365.451,	1.09488
365.95,	0.845288
366.449,	0.76107
366.949,	0.75456
367.448,	0.810701
367.947,	0.946652
368.446,	0.999164
368.946,	0.91911
369.445,	0.814634
369.944,	0.719681
370.443,	0.7518
370.943,	0.872014
371.442,	0.977168
371.941,	1.08745
372.44,	1.11797
372.94,	1.02393
373.439,	0.851415
373.938,	0.651145
374.437,	0.554603
374.937,	0.627993
375.436,	0.740977
375.935,	0.74441
376.434,	0.593982
376.934,	0.393968
377.433,	0.305262
377.932,	0.400932
378.431,	0.5365
378.931,	0.557849
379.43,	0.508824
379.929,	0.490494
380.428,	0.578966
380.928,	0.718511
381.427,	0.790254
381.926,	0.804824
382.425,	0.836283
382.925,	0.870977
383.424,	0.822512
383.923,	0.657669
384.422,	0.470703
384.922,	0.448511
385.421,	0.612051
385.92,	0.812333
386.419,	0.88372
386.919,	0.768233
387.418,	0.60962
387.917,	0.592485
388.416,	0.721147
388.916,	0.922548
389.415,	1.06167
389.914,	1.10024
390.413,	1.13092
390.913,	1.08402
391.412,	0.967827
391.911,	0.898009
392.41,	0.873209
392.91,	0.897503
393.409,	0.889909
393.908,	0.770298
394.407,	0.6659
394.907,	0.618696
395.406,	0.571845
395.905,	0.523255
396.404,	0.453589
396.904,	0.371981
397.403,	0.374945
397.902,	0.462318
398.401,	0.529115
398.901,	0.526845
399.4,	0.521466
399.899,	0.582039
400.398,	0.666685
400.898,	0.63086
401.397,	0.524465
401.896,	0.579766
402.395,	0.823867
402.895,	1.06043
403.394,	1.1055
403.893,	0.953369
404.392,	0.787759
404.892,	0.762325
405.391,	0.813496
405.89,	0.810213
406.389,	0.728283
406.889,	0.70521
407.388,	0.819597
407.887,	0.984831
408.386,	1.06684
408.886,	1.07052
409.385,	1.09628
409.884,	1.15713
410.383,	1.12117
410.883,	0.956878
411.382,	0.757581
411.881,	0.626831
412.38,	0.612718
412.88,	0.625231
413.379,	0.581459
413.878,	0.499109
414.377,	0.425686
414.877,	0.37765
415.376,	0.335004
415.875,	0.263175
416.374,	0.269102
416.874,	0.527678
