t	tSc	energy	enstrophy	enScaled	ensScaled
28	9.940000000000001	0.1733299	3978.525	1.054812246133248	0.9416179556326931
29	10.295	0.1651512	3937.87	1.00504014727754	0.9319959278746051
30	10.649999999999999	0.1615365	3906.638	0.9830426164066525	0.9246040899471519
31	11.004999999999999	0.1605783	3877.508	0.977211417668034	0.9177097431609484
32	11.36	0.1628345	3844.667	0.990941693804614	0.9099370949355551
33	11.715	0.1653698	3811.327	1.0063704541490304	0.9020463458160211
34	12.07	0.1677908	3787.631	1.0211036331786645	0.8964380917327434
35	12.424999999999999	0.1687121	3806.901	1.0267102741699912	0.9009988216527619
36	12.78	0.1664916	3858.206	1.013197253089734	0.913141439636496
37	13.135	0.1634677	3903.924	0.9947950804058385	0.9239617536211047
38	13.49	0.157938	3932.805	0.9611436718638442	0.9307971682978072
39	13.845	0.1630408	3984.158	0.9921971480936739	0.942951146688192
40	14.200000000000001	0.1687721	4016.004	1.0270754087184333	0.9504883031507199
41	14.554999999999998	0.1711864	4047.923	1.041767814390158	0.9580427368983625
42	14.909999999999998	0.1710922	4059.228	1.0411945531491043	0.9607183493397642
43	15.264999999999999	0.1745069	4044.086	1.0619749688585183	0.9571346143917142
44	15.62	0.1706082	4046.061	1.0382491344583387	0.957602047790367
45	15.975	0.166545	4077.605	1.0135222228378473	0.9650677283610503
46	16.330000000000002	0.1640298	4142.668	0.9982157825671593	0.9804665229010694
47	16.685	0.1641239	4219.873	0.9987884352506323	0.9987390269734635
48	17.04	0.1641762	4296.834	0.9991067108653576	1.0169537823120496
49	17.395	0.1670891	4363.764	1.0168333846346354	1.0327944493357573
50	17.75	0.1664098	4410.497	1.0126994529886915	1.0438549885860027
51	18.105	0.1669822	4436.668	1.016182836580828	1.050049013637212
52	18.46	0.1738618	4433.424	1.0580491639051863	1.049281239487729
53	18.815	0.1705977	4407.263	1.0381852359123613	1.043089581187905
54	19.17	0.1661218	4369.938	1.0109468071561698	1.0342556816412163
55	19.525000000000002	0.1608501	4323.953	0.9788654771724761	1.0233721753946126
56	19.880000000000003	0.1648029	4301.335	1.0029205412238342	1.0180190571107006
57	20.235	0.1650652	4291.375	1.0045167877581065	1.0156617727306598
58	20.59	0.1606159	4284.803	0.977440235318391	1.0141063437200546
59	20.944999999999997	0.1631243	4289.801	0.992705293673589	1.015289246062569
60	21.299999999999997	0.1638245	4295.34	0.9969664138539069	1.0166001896550436
61	21.654999999999998	0.1626687	4279.194	0.9899327053357527	1.012778832867881
62	22.009999999999998	0.1605963	4252.775	0.9773209580325665	1.006526112382309
63	22.365	0.1657925	4224.627	1.0089428270428042	0.99986418058217
64	22.72	0.1693209	4194.693	1.0304151727215158	0.9927795469845655
65	23.075	0.1696367	4188.114	1.0323369975614822	0.9912224612479902
66	23.43	0.168608	4262.667	1.0260767657284444	1.008867302852928
67	23.785	0.1660655	4279.513	1.0106041892382152	1.012854332237081
68	24.14	0.1628993	4283.145	0.9913360391169315	1.013713936340325
69	24.494999999999997	0.1665294	4277.748	1.0134272878552524	1.0124366006175256
70	24.849999999999998	0.167906	4280.874	1.0218046915116732	1.013176447100659
71	25.205	0.1666866	4301.471	1.0143839403721704	1.0180512449295445
72	25.56	0.1668892	4321.341	1.0156168780307429	1.0227539799326981
73	25.915	0.1724635	4324.509	1.0495397032537457	1.0235037667716507
74	26.27	0.1779773	4321.965	1.083094351140403	1.0229016652191585
75	26.625	0.175342	4354.864	1.06705703321525	1.030688040602588
76	26.98	0.1764764	4415.517	1.0739605104111267	1.0450430977815652
77	27.335	0.1741518	4456.57	1.0598139808893225	1.0547593222447995
78	27.69	0.1731572	4486.305	1.053761267191316	1.0617968574898309
79	28.045	0.1705048	4461.988	1.037619885919857	1.0560416281455085
80	28.400000000000002	0.1721589	4371.954	1.047686036862822	1.0347328187205496
81	28.755000000000003	0.167597	4345.085	1.0199242485871969	1.0283735944226264
82	29.109999999999996	0.165338	4339.301	1.006176932838356	1.0270046654212053
83	29.464999999999996	0.1612531	4320.159	0.9813179642228449	1.022474229918922
84	29.819999999999997	0.1645986	4311.368	1.0016772580863893	1.0203936187758562
85	30.174999999999997	0.1678431	4351.555	1.0214219087933898	1.0299048825690988
86	30.529999999999998	0.165727	4415.006	1.0085442218274216	1.044922156785762
87	30.884999999999998	0.1722634	4438.671	1.0483219795346919	1.0505230739397444
88	31.24	0.1717184	4410.613	1.045005340719677	1.0438824429020754
89	31.595	0.170632	4326.917	1.038393971162554	1.0240736805052992
90	31.95	0.1698269	4269.254	1.0334944740800434	1.0104262819906114
91	32.305	0.1624467	4204.453	0.9885817075065174	0.9950894963368946
92	32.660000000000004	0.167396	4210.611	1.018701047849916	0.9965469418401366
93	33.015	0.1614447	4199.038	0.9824839605475362	0.9938079004616012
94	33.37	0.1575287	4175.927	0.9586528456858892	0.9883381013343802
95	33.724999999999994	0.1590136	4137.881	0.9676893172022476	0.979333559012791
96	34.08	0.1597913	4109.53	0.9724220695076365	0.9726235821595242
97	34.434999999999995	0.1478443	4095.494	0.8997176953370295	0.9693016099147198
98	34.79	0.1549602	4083.111	0.9430220442246684	0.9663708616739523
99	35.144999999999996	0.1573067	4061.979	0.9573018478566537	0.961369442645938
100	35.5	0.1595734	4035.406	0.9710960225392113	0.9550802741890282
101	35.855	0.161143	4021.091	0.9806479423264538	0.951692269580566
102	36.21	0.1575834	4010.05	0.9589857266825522	0.9490791393757437
103	36.565	0.1565351	4001.613	0.9526062175636899	0.9470823112317273
104	36.92	0.1613843	4021.237	0.9821163917687713	0.9517268241507956
105	37.275	0.1627467	4071.556	0.9904073802487273	0.963636080447911
106	37.63	0.1632717	4114.811	0.9936023075475947	0.9738734635662506
107	37.985	0.163404	4149.775	0.9944074292269093	0.9821485731108033
108	38.34	0.1587978	4216.037	0.9663760499430178	0.997831141141954
109	38.695	0.1579827	4278.326	0.9614156971024336	1.0125733988476124
110	39.050000000000004	0.1598192	4310.076	0.972591857072662	1.0200878344968387
111	39.405	0.1605041	4318.705	0.9767598679431274	1.0221301042674584
112	39.760000000000005	0.1619952	4283.544	0.9858340700294915	1.0138083697206097
113	40.114999999999995	0.1617484	4285.833	0.9843321499202333	1.0143501191127695
114	40.47	0.1643678	4323.172	1.0002727071900492	1.0231873321113982
115	40.824999999999996	0.1573172	4372.773	0.9573657464026311	1.034926655659029
116	41.18	0.1601025	4409.365	0.974315900698889	1.0435870723291545
117	41.535	0.160638	4431.464	0.9775747265437337	1.0488173562161547
118	41.88999999999999	0.1616455	4408.186	0.9837059441696554	1.0433080323407942
119	42.245	0.156789	4339.253	0.9541513452611803	1.0269933050145543
120	42.599999999999994	0.1589821	4257.648	0.9674976215643155	1.0076794303325038
121	42.955	0.1660028	4175.86	1.0102226236350933	0.9883222441000967
122	43.309999999999995	0.1645995	4126.615	1.001682735104616	0.9766671769017928
123	43.665	0.1613667	4109.058	0.9820092856345617	0.9725118714941247
124	44.019999999999996	0.1591775	4111.449	0.9686867430770749	0.9730777617504175
125	44.375	0.1626315	4109.864	0.9897063219157188	0.9727026316558026
126	44.73	0.1626345	4096.764	0.9897245786431408	0.9696021873406889
127	45.085	0.1655536	4074.241	1.0074889829824243	0.9642715531949401
128	45.44	0.1619921	4056.484	0.9858152047444886	0.9600689127595602
129	45.795	0.1570418	4042.173	0.9556897788252825	0.9566818548516522
130	46.15	0.1577229	4030.181	0.9598346645076797	0.953843646590061
131	46.505	0.1609206	3996.838	0.9792945102668954	0.9459521874451114
132	46.86	0.1583039	4000.955	0.9633703840517596	0.9469265789905559
133	47.215	0.160224	4011.812	0.975055298159484	0.9494961609698834
134	47.57	0.1608995	3994.842	0.97916610461736	0.945479783868549
135	47.925000000000004	0.1575723	3959.612	0.9589181767910904	0.9371417187371398
136	48.28	0.154819	3919.168	0.9421627609206683	0.9275696294332876
137	48.635000000000005	0.1609718	3912.983	0.9796060917482327	0.9261057937013045
138	48.989999999999995	0.1628071	3930.45	0.9907749490274923	0.9302397983465024
139	49.345	0.1625128	3947.498	0.9889839640673844	0.9342746361086445
140	49.699999999999996	0.1674092	3987.248	1.0187813774505736	0.9436824728663372
141	50.05499999999999	0.1605117	4045.959	0.9768061183192633	0.957577906926234
142	50.41	0.1610895	4109.822	0.9803223640207597	0.9726926912999833
143	50.76499999999999	0.1640808	4156.22	0.998526146933335	0.9836739443788117
144	51.12	0.1667842	4182.718	1.0149778925709694	0.9899453622003297
145	51.474999999999994	0.1648331	4206.27	1.0031043256132168	0.9955195350636551
146	51.83	0.1695875	4220.917	1.0320375872317598	0.9989861158181186
147	52.184999999999995	0.1657976	4268.939	1.0089738634794216	1.0103517293219657
148	52.54	0.1632247	4355.673	0.9933162854846486	1.0308795107896818
