"N","Time","avg(U (0))","avg(U (1))","avg(U (2))","avg(U (Magnitude))","avg(Volume)","avg(energy)","max(U (0))","max(U (1))","max(U (2))","max(U (Magnitude))","max(Volume)","max(energy)","med(U (0))","med(U (1))","med(U (2))","med(U (Magnitude))","med(Volume)","med(energy)","min(U (0))","min(U (1))","min(U (2))","min(U (Magnitude))","min(Volume)","min(energy)","q1(U (0))","q1(U (1))","q1(U (2))","q1(U (Magnitude))","q1(Volume)","q1(energy)","q3(U (0))","q3(U (1))","q3(U (2))","q3(U (Magnitude))","q3(Volume)","q3(energy)","std(U (0))","std(U (1))","std(U (2))","std(U (Magnitude))","std(Volume)","std(energy)","vtkValidPointMask"
1,15.309,1.9275e-05,-3.8858e-29,3.0451e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8858e-29,3.0451e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8858e-29,3.0451e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8858e-29,3.0451e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8858e-29,3.0451e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8858e-29,3.0451e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.324,1.9275e-05,-3.863e-29,2.7925e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.863e-29,2.7925e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.863e-29,2.7925e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.863e-29,2.7925e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.863e-29,2.7925e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.863e-29,2.7925e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.339,1.9275e-05,-3.8347e-29,2.4814e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8347e-29,2.4814e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8347e-29,2.4814e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8347e-29,2.4814e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8347e-29,2.4814e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.8347e-29,2.4814e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.354,1.9275e-05,-3.801e-29,2.1243e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.801e-29,2.1243e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.801e-29,2.1243e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.801e-29,2.1243e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.801e-29,2.1243e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.801e-29,2.1243e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.369,1.9275e-05,-3.7651e-29,1.7319e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7651e-29,1.7319e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7651e-29,1.7319e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7651e-29,1.7319e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7651e-29,1.7319e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7651e-29,1.7319e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.384,1.9275e-05,-3.7286e-29,1.3178e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7286e-29,1.3178e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7286e-29,1.3178e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7286e-29,1.3178e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7286e-29,1.3178e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.7286e-29,1.3178e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.399,1.9275e-05,-3.6903e-29,8.8873e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6903e-29,8.8873e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6903e-29,8.8873e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6903e-29,8.8873e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6903e-29,8.8873e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6903e-29,8.8873e-10,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.414,1.9275e-05,-3.6435e-29,4.5241e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6435e-29,4.5241e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6435e-29,4.5241e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6435e-29,4.5241e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6435e-29,4.5241e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.6435e-29,4.5241e-10,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.429,1.9275e-05,-3.5978e-29,2.2423e-11,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5978e-29,2.2423e-11,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5978e-29,2.2423e-11,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5978e-29,2.2423e-11,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5978e-29,2.2423e-11,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5978e-29,2.2423e-11,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.444,1.9275e-05,-3.55e-29,-3.9796e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.55e-29,-3.9796e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.55e-29,-3.9796e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.55e-29,-3.9796e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.55e-29,-3.9796e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.55e-29,-3.9796e-10,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.459,1.9275e-05,-3.5037e-29,-8.1587e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5037e-29,-8.1587e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5037e-29,-8.1587e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5037e-29,-8.1587e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5037e-29,-8.1587e-10,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.5037e-29,-8.1587e-10,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.474,1.9275e-05,-3.46e-29,-1.2262e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.46e-29,-1.2262e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.46e-29,-1.2262e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.46e-29,-1.2262e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.46e-29,-1.2262e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.46e-29,-1.2262e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.489,1.9275e-05,-3.4164e-29,-1.6174e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.4164e-29,-1.6174e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.4164e-29,-1.6174e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.4164e-29,-1.6174e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.4164e-29,-1.6174e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.4164e-29,-1.6174e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.504,1.9275e-05,-3.3682e-29,-1.979e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3682e-29,-1.979e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3682e-29,-1.979e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3682e-29,-1.979e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3682e-29,-1.979e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3682e-29,-1.979e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.519,1.9275e-05,-3.3314e-29,-2.3055e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3314e-29,-2.3055e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3314e-29,-2.3055e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3314e-29,-2.3055e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3314e-29,-2.3055e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.3314e-29,-2.3055e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.534,1.9275e-05,-3.2975e-29,-2.5952e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2975e-29,-2.5952e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2975e-29,-2.5952e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2975e-29,-2.5952e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2975e-29,-2.5952e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2975e-29,-2.5952e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
1,15.549,1.9275e-05,-3.2654e-29,-2.8359e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2654e-29,-2.8359e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2654e-29,-2.8359e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2654e-29,-2.8359e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2654e-29,-2.8359e-09,1.9275e-05,0.00016045,2.4339e-06,1.9275e-05,-3.2654e-29,-2.8359e-09,1.9275e-05,0.00016045,2.4339e-06,0,0,0,0,0,0,1
