t	tSc	enstrophy	ensScaled
48.288	26.03619435	0.00098586	0.999626980415476
48.303	26.057553	0.00098596	0.999728376859232
48.318	26.07891165	0.00098609	0.999860192236116
48.333	26.1002703	0.00098621	0.999981867968623
48.348	26.12162895	0.00098632	1.00009340405676
48.363	26.1429876	0.00098642	1.00019480050051
48.378	26.16434625	0.00098653	1.00030633658864
48.393	26.1857049	0.00098664	1.00041787267678
48.408	26.20706355	0.00098677	1.00054968805366
48.423	26.2284222	0.00098688	1.00066122414179
48.438	26.24978085	0.00098692	1.00070178271929
48.453	26.2711395	0.00098687	1.00065108449741
48.468	26.29249815	0.00098674	1.00051926912053
48.483	26.3138568	0.00098654	1.00031647623302
48.498	26.33521545	0.0009863	1.000073124768
48.513	26.3565741	0.00098605	0.999819633658613
48.528	26.37793275	0.00098583	0.999596561482349
48.543	26.3992914	0.00098568	0.999444466816715
48.558	26.42065005	0.00098563	0.999393768594837
48.573	26.4420087	0.00098565	0.999414047883588
48.588	26.46336735	0.00098571	0.999474885749842
48.603	26.484726	0.00098576	0.99952558397172
48.618	26.50608465	0.0009858	0.999566142549223
48.633	26.5274433	0.00098586	0.999626980415476
48.648	26.54880195	0.00098595	0.999718237214857
48.663	26.5701606	0.00098607	0.999839912947364
48.678	26.59151925	0.0009862	0.999971728324248
48.693	26.6128779	0.00098632	1.00009340405676
48.708	26.63423655	0.00098642	1.00019480050051
48.723	26.6555952	0.00098653	1.00030633658864
48.738	26.67695385	0.00098664	1.00041787267678
48.753	26.6983125	0.00098676	1.00053954840928
48.768	26.71967115	0.00098688	1.00066122414179
48.783	26.7410298	0.00098695	1.00073220165242
48.798	26.76238845	0.00098693	1.00071192236367
48.813	26.7837471	0.00098682	1.00060038627554
48.828	26.80510575	0.00098664	1.00041787267678
48.843	26.8264644	0.00098641	1.00018466085614
48.858	26.84782305	0.00098616	0.999931169746745
48.873	26.8691817	0.00098592	0.99968781828173
48.888	26.89054035	0.00098573	0.999495165038593
48.903	26.911899	0.00098563	0.999393768594837
48.918	26.93325765	0.00098563	0.999393768594837
48.933	26.9546163	0.00098568	0.999444466816715
48.948	26.97597495	0.00098573	0.999495165038593
48.963	26.9973336	0.00098577	0.999535723616096
48.978	27.01869225	0.00098581	0.999576282193598
48.993	27.0400509	0.00098588	0.999647259704227
49.008	27.06140955	0.00098599	0.999758795792359
49.023	27.0827682	0.00098612	0.999890611169243
49.038	27.10412685	0.00098624	1.00001228690175
49.053	27.1254855	0.00098635	1.00012382298988
49.068	27.14684415	0.00098645	1.00022521943364
49.083	27.1682028	0.00098655	1.00032661587739
49.098	27.18956145	0.00098667	1.0004482916099
49.113	27.2109201	0.0009868	1.00058010698679
49.128	27.23227875	0.00098689	1.00067136378617
49.143	27.2536374	0.00098691	1.00069164307492
49.158	27.27499605	0.00098684	1.00062066556429
49.173	27.2963547	0.00098669	1.00046857089865
49.188	27.31771335	0.00098648	1.00025563836677
49.203	27.339072	0.00098624	1.00001228690175
49.218	27.36043065	0.00098599	0.999758795792359
49.233	27.3817893	0.00098578	0.999545863260471
49.248	27.40314795	0.00098566	0.999424187527964
49.263	27.4245066	0.00098563	0.999393768594837
49.278	27.44586525	0.00098567	0.999434327172339
49.293	27.4672239	0.00098573	0.999495165038593
49.308	27.48858255	0.00098577	0.999535723616096
49.323	27.5099412	0.00098582	0.999586421837974
49.338	27.53129985	0.00098588	0.999647259704227
49.353	27.5526585	0.00098598	0.999748656147984
49.368	27.57401715	0.00098611	0.999880471524867
49.383	27.5953758	0.00098623	1.00000214725737
49.398	27.61673445	0.00098635	1.00012382298988
49.413	27.6380931	0.00098645	1.00022521943364
49.428	27.65945175	0.00098655	1.00032661587739
49.443	27.6808104	0.00098667	1.0004482916099
49.458	27.70216905	0.00098679	1.00056996734241
49.473	27.7235277	0.0009869	1.00068150343054
49.488	27.74488635	0.00098695	1.00073220165242
49.503	27.766245	0.00098691	1.00069164307492
49.518	27.78760365	0.00098678	1.00055982769803
49.533	27.8089623	0.00098659	1.0003671744549
49.548	27.83032095	0.00098635	1.00012382298988
49.563	27.8516796	0.00098609	0.999860192236116
49.578	27.87303825	0.00098587	0.999637120059852
49.593	27.8943969	0.0009857	0.999464746105466
49.608	27.91575555	0.00098563	0.999393768594837
49.623	27.9371142	0.00098564	0.999403908239213
49.638	27.95847285	0.0009857	0.999464746105466
49.653	27.9798315	0.00098575	0.999515444327344
49.668	28.00119015	0.00098578	0.999545863260471
49.683	28.0225488	0.00098583	0.999596561482349
49.698	28.04390745	0.00098591	0.999677678637354
49.713	28.0652661	0.00098603	0.999799354369862
49.728	28.08662475	0.00098615	0.999921030102369
49.743	28.1079834	0.00098627	1.00004270583488
49.758	28.12934205	0.00098638	1.00015424192301
49.773	28.1507007	0.00098648	1.00025563836677
49.788	28.17205935	0.00098659	1.0003671744549
49.803	28.193418	0.00098671	1.0004888501874
49.818	28.21477665	0.00098683	1.00061052591991
49.833	28.2361353	0.00098691	1.00069164307492
49.848	28.25749395	0.0009869	1.00068150343054
49.863	28.2788526	0.00098681	1.00059024663116
49.878	28.30021125	0.00098664	1.00041787267678
49.893	28.3215699	0.00098642	1.00019480050051
49.908	28.34292855	0.00098617	0.999941309391121
49.923	28.3642872	0.00098594	0.999708097570481
49.938	28.38564585	0.00098574	0.999505304682969
49.953	28.4070045	0.00098564	0.999403908239213
49.968	28.42836315	0.00098563	0.999393768594837
49.983	28.4497218	0.00098569	0.999454606461091
49.998	28.47108045	0.00098574	0.999505304682969
50.013	28.4924391	0.00098578	0.999545863260471
50.028	28.51379775	0.00098583	0.999596561482349
50.043	28.5351564	0.0009859	0.999667538992979
50.058	28.55651505	0.00098601	0.999779075081111
50.073	28.5778737	0.00098614	0.999910890457994
50.088	28.59923235	0.00098626	1.0000325661905
50.103	28.620591	0.00098638	1.00015424192301
50.118	28.64194965	0.00098648	1.00025563836677
50.133	28.6633083	0.00098658	1.00035703481052
50.148	28.68466695	0.0009867	1.00047871054303
50.163	28.7060256	0.00098683	1.00061052591991
50.178	28.72738425	0.00098692	1.00070178271929
50.193	28.7487429	0.00098695	1.00073220165242
50.208	28.77010155	0.00098688	1.00066122414179
50.223	28.7914602	0.00098674	1.00051926912053
50.238	28.81281885	0.00098653	1.00030633658864
50.253	28.8341775	0.00098628	1.00005284547925
50.268	28.85553615	0.00098603	0.999799354369862
50.283	28.8768948	0.00098581	0.999576282193598
50.298	28.89825345	0.00098567	0.999434327172339
50.313	28.9196121	0.00098563	0.999393768594837
50.328	28.94097075	0.00098566	0.999424187527964
50.343	28.9623294	0.00098571	0.999474885749842
50.358	28.98368805	0.00098575	0.999515444327344
50.373	29.0050467	0.00098579	0.999556002904847
50.388	29.02640535	0.00098585	0.999616840771101
50.403	29.047764	0.00098594	0.999708097570481
50.418	29.06912265	0.00098606	0.999829773302989
50.433	29.0904813	0.00098618	0.999951449035496
50.448	29.11183995	0.0009863	1.000073124768
50.463	29.1331986	0.0009864	1.00017452121176
50.478	29.15455725	0.0009865	1.00027591765552
50.493	29.1759159	0.00098662	1.00039759338802
50.508	29.19727455	0.00098674	1.00051926912053
50.523	29.2186332	0.00098686	1.00064094485304
50.538	29.23999185	0.00098691	1.00069164307492
50.553	29.2613505	0.00098689	1.00067136378617
50.568	29.28270915	0.00098677	1.00054968805366
50.583	29.3040678	0.00098659	1.0003671744549
50.598	29.32542645	0.00098636	1.00013396263426
50.613	29.3467851	0.0009861	0.999870331880491
50.628	29.36814375	0.00098588	0.999647259704227
50.643	29.3895024	0.00098571	0.999474885749842
50.658	29.41086105	0.00098563	0.999393768594837
50.673	29.4322197	0.00098564	0.999403908239213
50.688	29.45357835	0.0009857	0.999464746105466
50.703	29.474937	0.00098575	0.999515444327344
50.718	29.49629565	0.0009858	0.999566142549223
50.733	29.5176543	0.00098585	0.999616840771101
50.748	29.53901295	0.00098593	0.999697957926106
50.763	29.5603716	0.00098604	0.999809494014238
50.778	29.58173025	0.00098617	0.999941309391121
50.793	29.6030889	0.00098629	1.00006298512363
50.808	29.62444755	0.0009864	1.00017452121176
50.823	29.6458062	0.0009865	1.00027591765552
50.838	29.66716485	0.00098661	1.00038745374365
50.853	29.6885235	0.00098673	1.00050912947616
50.868	29.70988215	0.00098686	1.00064094485304
50.883	29.7312408	0.00098694	1.00072206200804
50.898	29.75259945	0.00098694	1.00072206200804
50.913	29.7739581	0.00098685	1.00063080520866
50.928	29.79531675	0.00098669	1.00046857089865
50.943	29.8166754	0.00098647	1.00024549872239
50.958	29.83803405	0.00098621	0.999981867968623
50.973	29.8593927	0.00098597	0.999738516503608
50.988	29.88075135	0.00098577	0.999535723616096
51.003	29.90211	0.00098565	0.999414047883588
51.018	29.92346865	0.00098563	0.999393768594837
51.033	29.9448273	0.00098567	0.999434327172339
51.048	29.96618595	0.00098572	0.999485025394218
51.063	29.9875446	0.00098576	0.99952558397172
51.078	30.00890325	0.0009858	0.999566142549223
51.093	30.0302619	0.00098587	0.999637120059852
51.108	30.05162055	0.00098597	0.999738516503608
51.123	30.0729792	0.00098609	0.999860192236116
51.138	30.09433785	0.00098621	0.999981867968623
51.153	30.1156965	0.00098633	1.00010354370113
51.168	30.13705515	0.00098643	1.00020494014489
51.183	30.1584138	0.00098653	1.00030633658864
51.198	30.17977245	0.00098665	1.00042801232115
51.213	30.2011311	0.00098678	1.00055982769803
51.228	30.22248975	0.00098688	1.00066122414179
51.243	30.2438484	0.00098692	1.00070178271929
51.258	30.26520705	0.00098686	1.00064094485304
51.273	30.2865657	0.00098673	1.00050912947616
51.288	30.30792435	0.00098653	1.00030633658864
51.303	30.329283	0.00098629	1.00006298512363
51.318	30.35064165	0.00098604	0.999809494014238
51.333	30.3720003	0.00098582	0.999586421837974
51.348	30.39335895	0.00098568	0.999444466816715
51.363	30.4147176	0.00098563	0.999393768594837
51.378	30.43607625	0.00098566	0.999424187527964
51.393	30.4574349	0.00098572	0.999485025394218
51.408	30.47879355	0.00098577	0.999535723616096
51.423	30.5001522	0.00098581	0.999576282193598
51.438	30.52151085	0.00098586	0.999626980415476
51.453	30.5428695	0.00098596	0.999728376859232
51.468	30.56422815	0.00098608	0.99985005259174
51.483	30.5855868	0.00098621	0.999981867968623
51.498	30.60694545	0.00098632	1.00009340405676
51.513	30.6283041	0.00098643	1.00020494014489
51.528	30.64966275	0.00098653	1.00030633658864
51.543	30.6710214	0.00098664	1.00041787267678
51.558	30.69238005	0.00098677	1.00054968805366
51.573	30.7137387	0.00098688	1.00066122414179
51.588	30.73509735	0.00098695	1.00073220165242
51.603	30.756456	0.00098693	1.00071192236367
51.618	30.77781465	0.00098681	1.00059024663116
51.633	30.7991733	0.00098663	1.0004077330324
51.648	30.82053195	0.0009864	1.00017452121176
51.663	30.8418906	0.00098614	0.999910890457994
51.678	30.86324925	0.00098591	0.999677678637354
51.693	30.8846079	0.00098573	0.999495165038593
51.708	30.90596655	0.00098563	0.999393768594837
51.723	30.9273252	0.00098563	0.999393768594837
51.738	30.94868385	0.00098569	0.999454606461091
51.753	30.9700425	0.00098574	0.999505304682969
51.768	30.99140115	0.00098577	0.999535723616096
51.783	31.0127598	0.00098582	0.999586421837974
51.798	31.03411845	0.00098589	0.999657399348603
51.813	31.0554771	0.000986	0.999768935436735
51.828	31.07683575	0.00098613	0.999900750813618
51.843	31.0981944	0.00098625	1.00002242654613
51.858	31.11955305	0.00098635	1.00012382298988
51.873	31.1409117	0.00098645	1.00022521943364
51.888	31.16227035	0.00098656	1.00033675552177
51.903	31.183629	0.00098668	1.00045843125428
51.918	31.20498765	0.00098681	1.00059024663116
51.933	31.2263463	0.0009869	1.00068150343054
51.948	31.24770495	0.00098691	1.00069164307492
51.963	31.2690636	0.00098683	1.00061052591991
51.978	31.29042225	0.00098668	1.00045843125428
51.993	31.3117809	0.00098647	1.00024549872239
52.008	31.33313955	0.00098622	0.999992007612999
52.023	31.3544982	0.00098598	0.999748656147984
52.038	31.37585685	0.00098578	0.999545863260471
52.053	31.3972155	0.00098565	0.999414047883588
52.068	31.41857415	0.00098563	0.999393768594837
52.083	31.4399328	0.00098567	0.999434327172339
52.098	31.46129145	0.00098573	0.999495165038593
52.113	31.4826501	0.00098578	0.999545863260471
52.128	31.50400875	0.00098582	0.999586421837974
52.143	31.5253674	0.00098588	0.999647259704227
52.158	31.54672605	0.00098599	0.999758795792359
52.173	31.5680847	0.00098611	0.999880471524867
52.188	31.58944335	0.00098624	1.00001228690175
52.203	31.610802	0.00098635	1.00012382298988
52.218	31.63216065	0.00098646	1.00023535907801
52.233	31.6535193	0.00098656	1.00033675552177
52.248	31.67487795	0.00098668	1.00045843125428
52.263	31.6962366	0.0009868	1.00058010698679
52.278	31.71759525	0.00098691	1.00069164307492
52.293	31.7389539	0.00098695	1.00073220165242
52.308	31.76031255	0.0009869	1.00068150343054
52.323	31.7816712	0.00098677	1.00054968805366
52.338	31.80302985	0.00098658	1.00035703481052
52.353	31.8243885	0.00098633	1.00010354370113
52.368	31.84574715	0.00098608	0.99985005259174
52.383	31.8671058	0.00098586	0.999626980415476
52.398	31.88846445	0.00098569	0.999454606461091
52.413	31.9098231	0.00098563	0.999393768594837
52.428	31.93118175	0.00098565	0.999414047883588
52.443	31.9525404	0.0009857	0.999464746105466
52.458	31.97389905	0.00098575	0.999515444327344
52.473	31.9952577	0.00098578	0.999545863260471
52.488	32.01661635	0.00098583	0.999596561482349
52.503	32.037975	0.00098592	0.99968781828173
52.518	32.05933365	0.00098603	0.999799354369862
52.533	32.0806923	0.00098616	0.999931169746745
52.548	32.10205095	0.00098628	1.00005284547925
52.563	32.1234096	0.00098638	1.00015424192301
52.578	32.14476825	0.00098648	1.00025563836677
52.593	32.1661269	0.00098659	1.0003671744549
52.608	32.18748555	0.00098672	1.00049898983178
52.623	32.2088442	0.00098684	1.00062066556429
52.638	32.23020285	0.00098691	1.00069164307492
52.653	32.2515615	0.0009869	1.00068150343054
52.668	32.27292015	0.0009868	1.00058010698679
52.683	32.2942788	0.00098663	1.0004077330324
52.698	32.31563745	0.00098641	1.00018466085614
52.713	32.3369961	0.00098616	0.999931169746745
52.728	32.35835475	0.00098592	0.99968781828173
52.743	32.3797134	0.00098573	0.999495165038593
52.758	32.40107205	0.00098564	0.999403908239213
52.773	32.4224307	0.00098564	0.999403908239213
52.788	32.44378935	0.00098569	0.999454606461091
52.803	32.465148	0.00098574	0.999505304682969
