x	ux	uy
384.5	0.17931	0.33192
385	0.15034	0.41967
385.5	0.13336	0.50046
386	0.14281	0.49252
386.5	0.1434	0.46945
387	0.1451	0.4246
387.5	0.13999	0.44049
388	0.14298	0.4781
388.5	0.17847	0.32844
389	0.24539	0.34766
389.5	0.24266	0.55424
390	0.18036	0.62339
390.5	0.1473	0.52001
391	0.13002	0.29451
391.5	0.1412	0.14826
392	0.18918	0.14211
392.5	0.18067	0.29127
393	0.1992	0.4687
393.5	0.17145	0.42292
394	0.10773	0.26773
394.5	0.14669	0.21011
395	0.22173	0.2516
395.5	0.2208	0.34173
396	0.23767	0.34091
396.5	0.20818	0.28604
397	0.16366	0.26322
397.5	0.1622	0.27911
398	0.18575	0.28179
398.5	0.17272	0.25877
399	0.16556	0.30682
399.5	0.20498	0.44368
400	0.23875	0.53029
400.5	0.24105	0.45139
401	0.23868	0.38716
401.5	0.21276	0.34716
402	0.22347	0.31041
402.5	0.24176	0.31797
403	0.21599	0.2575
403.5	0.19293	0.25975
404	0.18233	0.32235
404.5	0.14153	0.34742
405	0.13106	0.44534
405.5	0.14753	0.54596
406	0.18804	0.4006
406.5	0.2472	0.3775
407	0.27067	0.38898
407.5	0.24953	0.24443
408	0.18334	0.18595
408.5	0.12579	0.21054
409	0.12791	0.30832
409.5	0.17248	0.37147
410	0.18364	0.3851
410.5	0.18508	0.38379
411	0.22794	0.34661
411.5	0.26276	0.29214
412	0.2649	0.37496
412.5	0.24232	0.50556
413	0.18323	0.40623
413.5	0.13714	0.31782
414	0.10956	0.37137
414.5	0.086439	0.49866
415	0.057281	0.44398
415.5	0.03483	0.26579
416	0.045359	0.15986
416.5	0.091975	0.12743
417	0.1295	0.13469
417.5	0.1264	0.23146
418	0.11195	0.34663
418.5	0.12821	0.3596
419	0.19129	0.30698
419.5	0.24756	0.279
420	0.2039	0.32112
420.5	0.15046	0.2894
421	0.13838	0.33259
421.5	0.12743	0.5013
422	0.099422	0.55609
422.5	0.091357	0.40473
423	0.11048	0.31186
423.5	0.14775	0.22523
424	0.1713	0.20122
424.5	0.169	0.2778
425	0.16522	0.34568
425.5	0.20818	0.27241
426	0.19898	0.24157
426.5	0.14727	0.3686
427	0.10516	0.42389
427.5	0.14477	0.3774
428	0.23086	0.31306
428.5	0.26536	0.32113
429	0.21361	0.34503
429.5	0.15567	0.33221
430	0.13092	0.30465
430.5	0.1257	0.31312
431	0.15536	0.20012
431.5	0.12902	0.11241
432	0.072636	0.1768
432.5	0.063794	0.26822
433	0.096781	0.24809
433.5	0.1066	0.20129
434	0.076473	0.29051
434.5	0.082918	0.36336
435	0.14245	0.2749
435.5	0.17845	0.24468
436	0.15758	0.3119
436.5	0.11695	0.3725
437	0.15571	0.46321
437.5	0.23198	0.49094
438	0.22013	0.40899
438.5	0.14319	0.40442
439	0.11588	0.4478
439.5	0.12694	0.37601
440	0.1011	0.26722
440.5	0.090235	0.2676
441	0.12482	0.30747
441.5	0.14083	0.26871
442	0.092347	0.27023
442.5	0.066701	0.27097
443	0.079374	0.2047
443.5	0.088957	0.21283
444	0.099023	0.28715
444.5	0.13006	0.36438
445	0.17156	0.35746
445.5	0.17373	0.29851
446	0.18059	0.34696
446.5	0.16613	0.42931
447	0.13737	0.38406
447.5	0.14625	0.31067
448	0.13158	0.21448
448.5	0.11182	0.20146
449	0.11025	0.30609
449.5	0.1023	0.42943
450	0.12589	0.34444
450.5	0.15304	0.27443
451	0.15431	0.36815
451.5	0.15281	0.38811
452	0.14213	0.36721
452.5	0.14706	0.29596
453	0.166	0.27028
453.5	0.18787	0.32522
454	0.19416	0.40269
454.5	0.16594	0.36719
455	0.12866	0.30884
455.5	0.13394	0.32155
456	0.13401	0.35579
456.5	0.11709	0.39472
457	0.14411	0.31035
457.5	0.20518	0.1934
458	0.25208	0.14343
458.5	0.27655	0.1865
459	0.26639	0.31182
459.5	0.20231	0.33129
460	0.13637	0.27471
460.5	0.094399	0.27439
461	0.094447	0.26296
461.5	0.11455	0.24405
462	0.12826	0.2681
462.5	0.14354	0.26447
463	0.11381	0.26506
463.5	0.09427	0.27284
464	0.10532	0.27605
464.5	0.14362	0.24622
465	0.16016	0.30582
465.5	0.14825	0.41405
466	0.098078	0.37254
466.5	0.078721	0.36225
467	0.085964	0.40386
467.5	0.081073	0.35044
468	0.075975	0.24607
468.5	0.091206	0.23888
469	0.090268	0.25176
469.5	0.097385	0.22058
470	0.12396	0.23288
470.5	0.12712	0.29407
471	0.13636	0.29689
471.5	0.15189	0.21912
472	0.13424	0.19013
472.5	0.11694	0.26078
473	0.15018	0.38985
