t,	etaU
254.505,	22.6993
255.06,	20.0388
255.614,	17.1328
256.169,	17.9525
256.723,	20.4826
257.278,	20.2697
257.832,	17.1383
258.386,	13.6083
258.941,	12.7413
259.495,	15.3214
260.05,	22.04
260.604,	30.5713
261.159,	35.0673
261.713,	33.2317
262.268,	27.4038
262.822,	22.5103
263.377,	21.8219
263.931,	22.3533
264.486,	20.4243
265.04,	16.2652
265.595,	11.4593
266.149,	8.32354
266.704,	6.75814
267.258,	5.90335
267.813,	6.366
268.367,	8.01338
268.922,	9.30979
269.476,	8.94174
270.03,	7.15167
270.585,	5.55774
271.139,	6.70122
271.694,	10.5764
272.248,	16.6825
272.803,	24.4912
273.357,	29.5143
273.912,	30.1448
274.466,	28.3748
275.021,	25.4075
275.575,	22.2975
276.13,	18.3433
276.684,	13.4353
277.239,	10.4825
277.793,	9.34446
278.348,	8.33167
278.902,	7.90355
279.457,	9.1373
280.011,	14.0459
280.566,	20.7901
281.12,	24.4128
281.675,	23.0187
282.229,	17.7612
282.783,	12.3619
283.338,	10.6909
283.892,	11.5899
284.447,	12.8512
285.001,	13.6631
285.556,	13.4711
286.11,	15.6459
286.665,	20.3505
287.219,	23.1702
287.774,	22.0581
288.328,	18.0004
288.883,	14.1348
289.437,	14.4221
289.992,	17.5516
290.546,	20.389
291.101,	22.8354
291.655,	24.1851
292.21,	23.2251
292.764,	21.1595
293.319,	18.4937
293.873,	14.9974
294.428,	13.0387
294.982,	14.2273
295.536,	18.6386
296.091,	23.392
296.645,	26.0655
297.2,	27.0198
297.754,	27.071
298.309,	26.0025
298.863,	22.2737
299.418,	15.9255
299.972,	10.4778
300.527,	8.82052
301.081,	10.4456
301.636,	12.8661
302.19,	15.1875
302.745,	17.5305
303.299,	18.8207
303.854,	18.6017
304.408,	17.2468
304.963,	16.4248
305.517,	17.9855
306.072,	19.3257
306.626,	17.6819
307.18,	13.6855
307.735,	10.5086
308.289,	11.2417
308.844,	14.3222
309.398,	16.516
309.953,	15.7944
310.507,	12.2319
311.062,	8.55784
311.616,	6.70499
312.171,	7.05567
312.725,	9.88458
313.28,	13.1225
313.834,	15.4606
314.389,	16.6053
314.943,	15.7294
315.498,	13.8062
316.052,	11.3274
316.607,	8.20439
317.161,	7.42167
317.716,	10.1814
318.27,	14.1775
318.825,	16.5702
319.379,	15.4866
319.933,	12.4581
320.488,	10.2739
321.042,	8.77045
321.597,	8.09291
322.151,	9.27077
322.706,	11.8499
323.26,	14.6191
323.815,	15.3005
324.369,	13.758
324.924,	12.1884
325.478,	10.8285
326.033,	9.72039
326.587,	10.5634
327.142,	13.0647
327.696,	15.2266
328.251,	14.9132
328.805,	11.2328
329.36,	7.53982
329.914,	7.59692
330.469,	10.6547
331.023,	14.3117
331.577,	16.8726
332.132,	17.3351
332.686,	16.1916
333.241,	14.7156
333.795,	14.132
334.35,	14.705
334.904,	15.2765
335.459,	14.6918
336.013,	12.923
336.568,	10.7869
337.122,	8.80664
337.677,	7.29607
338.231,	7.45314
338.786,	9.47013
339.34,	11.9877
339.895,	13.3959
340.449,	13.5228
341.004,	12.8735
341.558,	12.6348
342.113,	15.6947
342.667,	22.2341
343.222,	27.1567
343.776,	26.2384
344.33,	20.0049
344.885,	13.0783
345.439,	10.2999
345.994,	10.7098
346.548,	10.7525
347.103,	9.23525
347.657,	7.06242
348.212,	5.60023
348.766,	5.43485
349.321,	5.77808
349.875,	6.64719
350.43,	7.9538
350.984,	8.94158
351.539,	8.73787
352.093,	6.80222
352.648,	4.58612
353.202,	4.536
353.757,	6.70542
354.311,	9.76873
354.866,	12.4286
355.42,	13.1051
355.974,	12.2486
356.529,	10.9287
357.083,	9.34457
357.638,	7.56069
358.192,	5.92126
358.747,	5.49297
359.301,	6.76681
359.856,	8.10683
360.41,	8.46309
360.965,	7.96497
361.519,	8.03622
362.074,	10.173
362.628,	13.0809
363.183,	15.2379
363.737,	17.0321
364.292,	18.4247
364.846,	18.3307
365.401,	15.6904
365.955,	10.9113
366.51,	6.63772
367.064,	5.30381
367.619,	6.31053
368.173,	7.39011
368.727,	8.01457
369.282,	8.00988
369.836,	8.07368
370.391,	8.77332
370.945,	8.81728
371.5,	7.6085
372.054,	5.7009
372.609,	4.72658
373.163,	6.07264
373.718,	7.67202
