eta1	eta2	eta3	eta4
2.67674	0.695149	0.0258135	0.161446
2.46584	1.16475	-0.0746006	0.334927
2.07033	1.55668	-0.155102	0.444132
1.55577	1.79855	-0.179706	0.535394
0.98746	1.88611	-0.177666	0.681458
0.397681	1.84768	-0.189301	0.876797
-0.197495	1.69419	-0.21783	1.03635
-0.74046	1.43327	-0.275938	1.08147
-1.16102	1.08544	-0.372052	0.950686
-1.42271	0.675432	-0.474295	0.612327
-1.54112	0.245217	-0.520622	0.114149
-1.56629	-0.14847	-0.459621	-0.412438
-1.53076	-0.485777	-0.286987	-0.832516
-1.45209	-0.781066	-0.0429291	-1.07809
-1.31986	-1.04618	0.218657	-1.17379
-1.1568	-1.26461	0.476308	-1.13292
-0.978094	-1.42342	0.700427	-0.906139
-0.746491	-1.52747	0.842091	-0.52183
-0.417736	-1.57017	0.873408	-0.0573351
-0.0128455	-1.5185	0.788343	0.419202
0.395214	-1.3552	0.597786	0.835998
0.745409	-1.09338	0.324836	1.11548
0.99937	-0.774255	0.000251825	1.19511
1.14802	-0.440269	-0.33678	1.04216
1.21406	-0.117626	-0.646555	0.64758
1.20724	0.192111	-0.916723	0.00890747
1.12414	0.501675	-1.12498	-0.877241
0.956424	0.78794	-1.14408	-1.90885
0.712424	0.98974	-0.817671	-2.72321
0.431953	1.07825	-0.218588	-2.96604
0.140512	1.09122	0.423533	-2.61689
-0.155431	1.06057	0.930825	-1.89362
-0.449726	0.997694	1.22936	-1.0551
-0.738098	0.910805	1.32941	-0.298818
-1.00625	0.801568	1.27737	0.267063
-1.22784	0.663537	1.1302	0.593605
-1.39782	0.495417	0.953094	0.679126
-1.50131	0.286087	0.795973	0.570679
-1.56165	0.0436198	0.690487	0.350092
-1.57264	-0.23185	0.658027	0.0842557
-1.52372	-0.523856	0.7092	-0.169189
-1.40084	-0.802433	0.818291	-0.35805
-1.21524	-1.03206	0.94834	-0.439118
-0.986925	-1.20021	1.05986	-0.390237
-0.723274	-1.30908	1.12841	-0.208313
-0.420619	-1.34902	1.13399	0.0929606
-0.0830061	-1.28094	1.04926	0.481887
0.280127	-1.05916	0.850074	0.907321
0.625605	-0.690503	0.507976	1.30984
0.880126	-0.275025	0.00974132	1.5565
1.05561	0.0440682	-0.536477	1.44693
1.28719	0.186274	-0.995882	0.953043
1.64584	0.267721	-1.31841	0.227754
1.97181	0.502553	-1.4461	-0.543974
2.09386	0.921432	-1.36078	-1.18321
2.00844	1.39225	-1.11524	-1.51788
1.7644	1.821	-0.815574	-1.42367
1.4081	2.17112	-0.610409	-0.9387
0.946264	2.45053	-0.581708	-0.266457
0.374302	2.63622	-0.719848	0.460699
-0.273573	2.68662	-1.0204	1.15381
-0.939209	2.58926	-1.46851	1.68577
-1.58573	2.36738	-2.03159	1.9176
-2.18131	2.04739	-2.63485	1.7434
-2.63029	1.67923	-3.13691	1.08137
-2.91696	1.34675	-3.38254	-0.0277461
-3.11355	1.08254	-3.22633	-1.33171
-3.27895	0.826792	-2.63182	-2.42752
-3.40479	0.518797	-1.74851	-2.98037
-3.45627	0.134418	-0.837613	-2.92158
-3.39206	-0.312025	-0.111881	-2.4632
-3.18935	-0.796517	0.3684	-1.84091
-2.83346	-1.27016	0.640514	-1.20766
-2.32381	-1.66917	0.759527	-0.638745
-1.68296	-1.97255	0.774781	-0.151704
