eta1	eta2	eta1exp	eta2exp	eta9	eta10	eta15	eta16	eta9exp	eta10exp
107.253	-100.513	-59.97927051	206.7950627	-5.83579	-46.1697	-12.7772	6.19701	-42.86494042	12.61951494
84.7952	-117.124	-10.55191216	222.1048811	3.21652	-47.5162	-22.1745	10.5555	-32.82645355	-13.23404632
56.9595	-133.407	40.86221487	221.4983877	12.4816	-37.4662	-26.95	9.11491	-21.23097545	-28.59750678
23.7824	-146.328	92.29875906	208.0978194	20.6238	-19.9211	-24.9749	5.67257	-11.11804534	-40.04215694
-13.1607	-149.814	139.6426154	186.1874568	25.4601	0.75448	-16.5728	2.74591	1.956284404	-36.59161737
-51.7215	-142.354	180.5287836	153.2853199	28.0291	19.5098	-5.92245	1.50142	24.55117854	-47.77500772
-89.4466	-125.864	211.3284838	114.1565544	30.0094	35.2333	3.27602	1.18524	36.29638481	-44.22352907
-123.432	-103.006	231.1209448	66.53884834	30.6166	47.4982	10.6769	2.29039	38.01539134	-22.74121264
-151.635	-75.7646	244.9862201	16.09778798	27.9002	56.0932	15.3954	6.3214	45.10400026	-15.03946047
-172.334	-46.5725	242.7004886	-40.22845733	21.9292	58.5874	16.3246	11.7804	33.99401451	23.26436997
-185.34	-16.7169	226.4736495	-92.22895282	14.1415	53.9122	12.7566	16.2935	25.80480581	24.01880281
-191.919	15.6499	204.2582151	-136.1983147	6.35245	43.968	5.21817	17.7292	10.82394195	54.86008089
-191.461	51.6996	173.1184675	-175.8102888	0.364952	30.1148	-3.83676	14.9062	1.484579919	55.5581
-181.348	89.5474	133.5388011	-210.5937318	-2.86159	12.6708	-11.5889	8.02385	-11.83876256	55.5581
-160.855	126.201	87.63755666	-238.1109329	-1.7257	-6.4274	-16.4692	-0.927654	-23.50395436	55.5581
-131.75	158.325	29.44589788	-253.6642721	5.40046	-23.9868	-18.1727	-9.63542	-22.15307512	6.541301138
-96.2405	183.033	-24.77848983	-253.7719563	17.377	-37.017	-15.9905	-17.0617	-20.71438337	-15.32868016
-56.6227	199.49	-78.96494625	-243.4187203	29.5363	-43.0819	-8.64114	-22.5058	-14.63038085	-32.88051477
-15.3455	208.605	-129.8281448	-221.3564638	38.3324	-42.5567	3.39866	-22.0617	-6.793500416	-44.22256594
26.2161	211.417	-176.8058272	-190.2120106	42.75	-37.7175	15.01	-13.7942	1.87506768	-45.4363137
67.6943	207.119	-213.2568042	-149.616132	43.3224	-30.0598	20.9208	-0.246551	6.19024126	-43.33802937
108.682	194.014	-238.2921817	-103.2218295	40.9327	-21.0089	18.8667	14.0917	6.249819848	-36.82439461
147.05	172.047	-253.9569545	-51.08970784	36.5363	-11.6301	9.34912	24.6914	0.182891482	-23.99225508
179.358	141.686	-255.6612549	3.297218533	31.6682	-3.76101	-4.40695	27.9483	-4.398398432	-8.945507055
203.557	105.286	-248.2013844	59.63815076	28.8579	2.26907	-16.6942	22.3332	-14.80019925	5.059768076
219.795	65.4213	-226.5857454	118.6178727	28.9736	7.07148	-22.1882	10.5122	-22.01475766	9.9700693
227.622	22.9373	-191.4041477	169.3862259	32.3778	11.1493	-18.7185	-2.5322	-37.53573481	28.27692949
225.856	-22.992	-148.4659099	208.0628746	40.515	13.686	-6.72256	-12.7322	-42.52707333	3.611507654
213.367	-70.2629	-97.96736916	236.1377318	52.7163	12.9515	10.8417	-16.2395	-35.4312927	-22.84454222
190.129	-113.713	-40.27947992	250.4684121	66.1622	9.89025	27.0702	-10.6623	-24.20775252	-42.19252559
156.755	-151.485	14.49564421	253.9273953	78.1008	4.93953	35.7994	2.56723	-8.004998528	-46.53749191
114.434	-181.702	72.94487796	247.1032505	85.5185	-0.397829	33.0333	18.5165	9.435895699	-50.06086532
66.2697	-201.245	129.4063728	223.5768898	84.5893	-3.80466	18.9871	29.1589	23.35757398	-42.76972954
16.2833	-209.371	177.1364551	189.6097177	73.9326	-3.67445	0.186862	29.3883	36.40660539	-26.81247626
-33.2986	-206.939	219.141844	144.340916	54.5061	1.41695	-16.5144	19.6925	44.85306328	-4.615454995
-80.6071	-194.306	248.3748799	96.50530929	28.5218	11.5375	-25.3674	2.47492		
-124.497	-170.747	265.1760854	40.73657114	-2.43652	25.1804	-23.1569	-18.3707		
-163.015	-136.723	265.945	-16.35500272	-35.3974	38.6228	-9.32038	-36.6464		
-193.362	-95.4482	254.2470116	-70.09388736	-64.8021	46.4544	13.2225	-44.6612		
-212.779	-51.7754	229.932944	-122.2237251	-85.2605	45.8385	35.742	-37.2854		
-221.614	-7.77751	191.4759646	-167.5488813	-95.2801	36.4618	49.9956	-17.1677		
-221.866	36.5249	142.3442285	-204.2030448	-93.9772	20.4553	50.6628	11.1333		
-214.012	80.2811	87.3578415	-228.8470215	-81.827	3.11823	33.2609	38.9938		
-198.122	120.723	28.49795465	-237.2162919	-61.8037	-12.1782	2.05889	55.5581		
-173.989	155.085	-35.64539918	-233.649555	-35.1725	-23.0539	-31.3411	54.7129		
-142.189	182.673	-94.47756224	-215.3236649	-3.93681	-24.9421	-55.3324	36.3836		
-104.29	204.58	-141.3903988	-181.0478689	24.6474	-17.1216	-60.1265	8.09111		
-60.4032	219.277	-178.4152669	-130.6141173	46.2006	-4.53649	-44.1405	-17.2277		
-12.0427	224.464	-199.6060416	-78.38875003	59.1342	7.98638	-16.6658	-28.2002		
37.3293	220.001	-205.5993423	-24.64189135	61.172	19.1328	8.69117	-20.9777		
84.8778	206.057	-199.4230934	32.90373575	50.7154	27.5282	20.5957	0.0730234		
127.381	183.451	-178.4123486	77.12250713	32.3931	32.7331	14.105	23.5972		
