x	singVal	singValLomSumasingVal	singValsqLomSumasingValsq
292	4.02072e-05	8.38354e-08	2.59296e-14
293	4.01716e-05	8.37611e-08	2.58836e-14
294	4.01621e-05	8.37412e-08	2.58713e-14
295	4.01424e-05	8.37003e-08	2.58461e-14
296	4.01167e-05	8.36465e-08	2.58129e-14
297	4.00857e-05	8.35819e-08	2.5773e-14
298	4.00805e-05	8.35712e-08	2.57664e-14
299	4.00586e-05	8.35254e-08	2.57382e-14
300	4.00264e-05	8.34583e-08	2.56968e-14
301	4.00236e-05	8.34526e-08	2.56933e-14
302	4.00153e-05	8.34353e-08	2.56827e-14
303	3.99913e-05	8.33852e-08	2.56518e-14
304	3.99557e-05	8.33109e-08	2.56061e-14
305	3.99458e-05	8.32903e-08	2.55935e-14
306	3.99293e-05	8.32559e-08	2.55723e-14
307	3.98833e-05	8.316e-08	2.55135e-14
308	3.98559e-05	8.3103e-08	2.54785e-14
309	3.98426e-05	8.30751e-08	2.54614e-14
310	3.98253e-05	8.3039e-08	2.54393e-14
311	3.98176e-05	8.30229e-08	2.54294e-14
312	3.98008e-05	8.29879e-08	2.5408e-14
313	3.97612e-05	8.29055e-08	2.53575e-14
314	3.9734e-05	8.28487e-08	2.53228e-14
315	3.97278e-05	8.28358e-08	2.53149e-14
316	3.96896e-05	8.27561e-08	2.52662e-14
317	3.96883e-05	8.27534e-08	2.52646e-14
318	3.96521e-05	8.26779e-08	2.52185e-14
319	3.96237e-05	8.26187e-08	2.51824e-14
320	3.95909e-05	8.25502e-08	2.51407e-14
321	3.95629e-05	8.24918e-08	2.51051e-14
322	3.95453e-05	8.24552e-08	2.50828e-14
323	3.95165e-05	8.23952e-08	2.50463e-14
324	3.9501e-05	8.23629e-08	2.50267e-14
325	3.94916e-05	8.23432e-08	2.50147e-14
326	3.9464e-05	8.22858e-08	2.49799e-14
327	3.94585e-05	8.22743e-08	2.49729e-14
328	3.94443e-05	8.22446e-08	2.49548e-14
329	3.94227e-05	8.21995e-08	2.49275e-14
330	3.94044e-05	8.21615e-08	2.49044e-14
331	3.93888e-05	8.21289e-08	2.48847e-14
332	3.93636e-05	8.20763e-08	2.48528e-14
333	3.93506e-05	8.20492e-08	2.48364e-14
334	3.93195e-05	8.19844e-08	2.47972e-14
335	3.93043e-05	8.19527e-08	2.4778e-14
336	3.92915e-05	8.19259e-08	2.47619e-14
337	3.92858e-05	8.19141e-08	2.47547e-14
338	3.92582e-05	8.18566e-08	2.472e-14
339	3.92379e-05	8.18142e-08	2.46944e-14
340	3.92212e-05	8.17795e-08	2.46734e-14
341	3.92094e-05	8.17549e-08	2.46585e-14
342	3.91854e-05	8.17049e-08	2.46284e-14
343	3.91639e-05	8.16599e-08	2.46013e-14
344	3.91488e-05	8.16285e-08	2.45824e-14
345	3.91086e-05	8.15448e-08	2.4532e-14
346	3.91014e-05	8.15297e-08	2.45229e-14
347	3.90752e-05	8.14751e-08	2.44901e-14
348	3.9048e-05	8.14183e-08	2.44559e-14
349	3.90339e-05	8.1389e-08	2.44383e-14
350	3.90197e-05	8.13593e-08	2.44205e-14
351	3.90077e-05	8.13344e-08	2.44055e-14
352	3.8982e-05	8.12806e-08	2.43733e-14
353	3.89643e-05	8.12437e-08	2.43512e-14
354	3.8947e-05	8.12077e-08	2.43296e-14
355	3.89217e-05	8.1155e-08	2.4298e-14
356	3.89142e-05	8.11394e-08	2.42887e-14
357	3.89033e-05	8.11165e-08	2.4275e-14
358	3.88806e-05	8.10692e-08	2.42467e-14
359	3.88692e-05	8.10455e-08	2.42325e-14
360	3.8854e-05	8.10139e-08	2.42136e-14
361	3.88271e-05	8.09578e-08	2.41801e-14
362	3.88239e-05	8.0951e-08	2.4176e-14
363	3.88179e-05	8.09386e-08	2.41686e-14
364	3.87742e-05	8.08474e-08	2.41142e-14
365	3.87392e-05	8.07745e-08	2.40707e-14
366	3.87342e-05	8.0764e-08	2.40644e-14
367	3.8716e-05	8.07261e-08	2.40419e-14
368	3.87139e-05	8.07217e-08	2.40393e-14
369	3.87071e-05	8.07075e-08	2.40308e-14
370	3.86819e-05	8.0655e-08	2.39995e-14
371	3.86608e-05	8.06109e-08	2.39733e-14
372	3.86547e-05	8.05982e-08	2.39657e-14
373	3.861e-05	8.0505e-08	2.39104e-14
374	3.85976e-05	8.04791e-08	2.3895e-14
375	3.85747e-05	8.04314e-08	2.38667e-14
376	3.8564e-05	8.04092e-08	2.38535e-14
377	3.85339e-05	8.03465e-08	2.38163e-14
378	3.85198e-05	8.0317e-08	2.37988e-14
379	3.85017e-05	8.02792e-08	2.37764e-14
380	3.84821e-05	8.02383e-08	2.37522e-14
381	3.84621e-05	8.01966e-08	2.37275e-14
382	3.84391e-05	8.01487e-08	2.36992e-14
383	3.84303e-05	8.01303e-08	2.36883e-14
384	3.84139e-05	8.00961e-08	2.36681e-14
385	3.83965e-05	8.00599e-08	2.36467e-14
386	3.83817e-05	8.00291e-08	2.36285e-14
387	3.83701e-05	8.00048e-08	2.36141e-14
388	3.83565e-05	7.99765e-08	2.35975e-14
389	3.83437e-05	7.99497e-08	2.35817e-14
390	3.83267e-05	7.99144e-08	2.35608e-14
391	3.83085e-05	7.98763e-08	2.35384e-14
392	3.82995e-05	7.98576e-08	2.35274e-14
393	3.82723e-05	7.9801e-08	2.3494e-14
394	3.8264e-05	7.97836e-08	2.34838e-14
395	3.82537e-05	7.97621e-08	2.34711e-14
396	3.82094e-05	7.96697e-08	2.34167e-14
397	3.8194e-05	7.96377e-08	2.33979e-14
398	3.81789e-05	7.96062e-08	2.33794e-14
399	3.81679e-05	7.95833e-08	2.3366e-14
400	3.81543e-05	7.95548e-08	2.33493e-14
