t	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
1.32	-2.03677	0.706803	0.175554	0.322332	0.213868	-0.0247796	0.0559215	-0.028411
1.335	-2.11278	0.429678	0.0837473	0.357098	0.187042	-0.106609	0.062621	0.00423441
1.35	-2.15075	0.144893	-0.014014	0.366294	0.13025	-0.171263	0.0516099	0.0356737
1.365	-2.14997	-0.142415	-0.110726	0.349268	0.0526578	-0.208378	0.0260629	0.057004
1.38	-2.11044	-0.427072	-0.199478	0.307237	-0.0332275	-0.212028	-0.00677534	0.0622244
1.395	-2.03285	-0.70395	-0.273908	0.243194	-0.113608	-0.181681	-0.0376075	0.0498754
1.41	-1.91857	-0.968054	-0.328672	0.161698	-0.175583	-0.122242	-0.0577207	0.0235078
1.425	-1.76964	-1.2146	-0.359825	0.0685599	-0.20923	-0.0432933	-0.0614883	-0.00941427
1.44	-1.58871	-1.4391	-0.365064	-0.029543	-0.209181	0.0424846	-0.0478718	-0.0395898
1.455	-1.37904	-1.63748	-0.343967	-0.125559	-0.175489	0.121315	-0.0207615	-0.0585204
1.47	-1.14441	-1.80611	-0.298006	-0.21254	-0.113589	0.180543	0.0121879	-0.0608844
1.485	-0.889077	-1.94195	-0.230451	-0.284201	-0.0334436	0.210686	0.0416826	-0.0460276
1.5	-0.617684	-2.04253	-0.146168	-0.335321	0.0520626	0.206893	0.0593833	-0.0181497
1.515	-0.335157	-2.10603	-0.0512371	-0.362171	0.129184	0.16979	0.0602931	0.0148824
1.53	-0.0466346	-2.13129	0.047458	-0.362787	0.185495	0.105335	0.0441212	0.0437202
1.545	0.242635	-2.11785	0.142743	-0.337106	0.21192	0.0239111	0.0154396	0.0602012
1.56	0.527371	-2.06595	0.227694	-0.287002	0.204184	-0.0613662	-0.017654	0.0596259
1.575	0.802409	-1.97657	0.296149	-0.216126	0.163529	-0.136745	-0.0458032	0.0421456
1.59	1.06279	-1.85132	0.343145	-0.12962	0.0964621	-0.190071	-0.0609933	0.0126748
1.605	1.30383	-1.69249	0.365279	-0.0337674	0.0137971	-0.212736	-0.0589055	-0.0204573
1.62	1.52118	-1.50297	0.360967	0.0644698	-0.0711464	-0.201063	-0.0400634	-0.0478299
1.635	1.71092	-1.28617	0.330563	0.157973	-0.144653	-0.156913	-0.00980426	-0.0616366
1.65	1.86964	-1.04602	0.276302	0.239975	-0.194845	-0.0874102	0.0232678	-0.0579266
1.665	1.99449	-0.786865	0.202147	0.304592	-0.213631	-0.00378208	0.0497466	-0.0377546
1.68	2.08326	-0.513381	0.113462	0.347182	-0.197955	0.0804614	0.0620965	-0.0068332
1.695	2.13433	-0.230519	0.0166445	0.364704	-0.150346	0.151719	0.0568034	0.0260012
1.71	2.14678	0.0566112	-0.0813205	0.355908	-0.0784887	0.198484	0.0354181	0.0514435
1.725	2.12035	0.342833	-0.173414	0.321451	0.00602143	0.213248	0.00402104	0.0622788
1.74	2.05551	0.622988	-0.253003	0.26382	0.0895734	0.193621	-0.0284607	0.0554504
1.755	1.95343	0.892026	-0.314397	0.187149	0.158716	0.142773	-0.0528318	0.0329421
1.77	1.81592	1.14508	-0.353186	0.0969278	0.202341	0.0688744	-0.0622207	0.00113654
1.785	1.64543	1.37756	-0.366569	-0.000363024	0.213437	-0.0162088	-0.0540082	-0.0309545
1.8	1.44503	1.58523	-0.35358	-0.0977281	0.19023	-0.0988006	-0.0305502	-0.0542964
1.815	1.21835	1.76432	-0.315126	-0.188155	0.136439	-0.165651	0.00153439	-0.0623255
1.83	0.969496	1.91158	-0.253958	-0.265118	0.0606825	-0.206019	0.0332184	-0.052789
1.845	0.702991	2.02435	-0.174471	-0.323056	-0.024901	-0.213399	0.0555481	-0.028383
1.86	0.423675	2.1006	-0.0823799	-0.35778	-0.106584	-0.186575	0.0622374	0.0040382
1.875	0.13663	2.13893	0.0156728	-0.366775	-0.171236	-0.129807	0.0513783	0.0353194
1.89	-0.152936	2.13866	0.11262	-0.34938	-0.208469	-0.0521734	0.0260069	0.0566517
1.905	-0.439742	2.09978	0.20148	-0.306872	-0.212269	0.0338779	-0.00673696	0.0620007
1.92	-0.718572	2.02303	0.275842	-0.242326	-0.181997	0.114524	-0.0376263	0.0498364
1.935	-0.984399	1.9098	0.330387	-0.160401	-0.122475	0.176816	-0.0579234	0.0235649
1.95	-1.23245	1.76216	0.361185	-0.0669971	-0.04324	0.210742	-0.0618803	-0.00942966
1.965	-1.45825	1.58279	0.366053	0.0311672	0.0429949	0.210821	-0.0483098	-0.0398045
1.98	-1.65774	1.37492	0.344673	0.127026	0.12235	0.177031	-0.0210437	-0.058957
1.995	-1.82732	1.14232	0.298606	0.213705	0.182088	0.114789	0.0122229	-0.0614184
2.01	-1.96397	0.889177	0.231189	0.285019	0.212604	0.0341104	0.0420724	-0.0464761
2.025	-2.06524	0.620076	0.147268	0.335884	0.208988	-0.0520045	0.0599962	-0.0183643
2.04	-2.12932	0.339871	0.0528494	0.362679	0.171856	-0.129715	0.0609614	0.0149344
2.055	-2.15503	0.0536221	-0.0453116	0.363493	0.107203	-0.186529	0.0447049	0.0440094
2.07	-2.14189	-0.233503	-0.140199	0.33828	0.0254652	-0.213364	0.0158618	0.0606208
2.085	-2.09012	-0.516335	-0.225004	0.288834	-0.0601957	-0.20593	-0.0173733	0.0601025
2.1	-2.00063	-0.789771	-0.293662	0.218675	-0.136014	-0.165483	-0.0456152	0.0426291
2.115	-1.87501	-1.04887	-0.341221	0.1328	-0.189828	-0.0985473	-0.0608743	0.0131863
2.13	-1.7155	-1.28894	-0.364244	0.0373441	-0.213028	-0.0159026	-0.0589132	-0.0198847
2.145	-1.52495	-1.5056	-0.361021	-0.0608364	-0.201925	0.0691638	-0.0403103	-0.0472591
2.16	-1.30679	-1.69491	-0.331723	-0.154678	-0.158347	0.143004	-0.0103461	-0.0612312
2.175	-1.06498	-1.85343	-0.278423	-0.237376	-0.0893082	0.193756	0.0225249	-0.0578725
2.19	-0.8039	-1.97827	-0.204929	-0.302948	-0.00592281	0.213291	0.0490083	-0.038147
2.205	-0.528301	-2.06718	-0.11654	-0.34661	0.0783998	0.198468	0.0616316	-0.00761369
2.22	-0.243196	-2.11855	-0.0196516	-0.365169	0.150088	0.151678	0.0568204	0.0250806
2.235	0.0462383	-2.13143	0.0787117	-0.35726	0.197598	0.0804395	0.0358976	0.0506991
2.25	0.334724	-2.1056	0.171396	-0.323457	0.213261	-0.00376021	0.00478387	0.0619765
2.265	0.616993	-2.04152	0.251653	-0.266218	0.194529	-0.0873476	-0.0277246	0.055681
2.28	0.887941	-1.94039	0.313678	-0.189714	0.144416	-0.156846	-0.0524254	0.0335829
2.295	1.14269	-1.80405	0.35296	-0.0994945	0.0709634	-0.201049	-0.0622836	0.00190518
2.31	1.37664	-1.63497	0.366669	-0.00211313	-0.0139857	-0.212797	-0.0544666	-0.0303707
2.325	1.58559	-1.43622	0.35384	0.095351	-0.0967194	-0.190189	-0.0311553	-0.05407
2.34	1.76574	-1.21141	0.315433	0.185842	-0.163891	-0.136849	0.00105559	-0.0624099
2.355	1.91388	-0.964577	0.254271	0.262826	-0.204637	-0.0613882	0.033	-0.0530034
2.37	2.02736	-0.700213	0.174811	0.320774	-0.212373	0.023987	0.0555564	-0.0285328
2.385	2.10415	-0.423086	0.0827894	0.355532	-0.185851	0.105493	0.0623475	0.00405466
2.4	2.14285	-0.13821	-0.0151598	0.364618	-0.129341	0.169966	0.0514236	0.0354783
2.415	2.14275	0.149269	-0.111973	0.347395	-0.051968	0.207009	0.025942	0.0568064
2.43	2.10383	0.434168	-0.200705	0.305118	0.0337793	0.210657	-0.00685423	0.0620157
2.445	2.0268	0.711349	-0.274981	0.240833	0.114097	0.180334	-0.0376574	0.0496405
2.46	1.91301	0.975813	-0.329476	0.159148	0.176061	0.120912	-0.0577442	0.0232418
2.475	1.76451	1.22277	-0.360287	0.0659174	0.209712	0.0419541	-0.0614799	-0.00970217
2.49	1.58394	1.44773	-0.365171	-0.0321582	0.209644	-0.0438659	-0.0478259	-0.0398806
