f	spct
8.37406	0.0125371
8.39036	0.0152312
8.40665	0.0134029
8.42294	0.00828349
8.43923	0.00251387
8.45552	0.00109555
8.47181	0.000895046
8.48811	0.00304561
8.5044	0.00885847
8.52069	0.0144943
8.53698	0.0190614
8.55327	0.0332018
8.56957	0.0107357
8.58586	0.00254012
8.60215	0.00119489
8.61844	0.00180309
8.63473	0.00656366
8.65103	0.0115685
8.66732	0.0144741
8.68361	0.0139796
8.6999	0.0103077
8.71619	0.00520755
8.73249	0.00123806
8.74878	0.000481279
8.76507	0.00362576
8.78136	0.00952167
8.79765	0.0157469
8.81395	0.0197041
8.83024	0.0197831
8.84653	0.0161647
8.86282	0.0107428
8.87911	0.00617921
8.89541	0.00479931
8.9117	0.00742551
8.92799	0.013148
8.94428	0.0189022
8.96057	0.0230616
8.97687	0.0233886
8.99316	0.0200364
9.00945	0.0145581
9.02574	0.0101059
9.04203	0.00858182
9.05833	0.0109364
9.07462	0.0162306
9.09091	0.0221947
9.1072	0.0262012
9.12349	0.0266103
9.13978	0.0234238
9.15608	0.0183412
9.17237	0.0138983
9.18866	0.0123645
9.20495	0.0145225
9.22124	0.0195644
9.23754	0.0252986
9.25383	0.0291025
9.27012	0.0295098
9.28641	0.0264909
9.3027	0.0216449
9.319	0.0174211
9.33529	0.0159239
9.35158	0.0179702
9.36787	0.0227656
9.38416	0.0281213
9.40046	0.0317819
9.41675	0.0321905
9.43304	0.0293849
9.44933	0.0248212
9.46562	0.0209183
9.48192	0.0194702
9.49821	0.0213194
9.5145	0.0256437
9.53079	0.0304955
9.54708	0.0339598
9.56338	0.0342199
9.57967	0.0316634
9.59596	0.0275865
9.61225	0.0226587
9.62854	0.0229638
9.64484	0.0246049
9.66113	0.0283645
9.67742	0.0325428
9.69371	0.0352749
9.71	0.0354893
9.7263	0.0332871
9.74259	0.0299363
9.75888	0.0271263
9.77517	0.0261686
9.79146	0.0273698
9.80775	0.0299072
9.82405	0.0323677
9.84034	0.0334384
9.85663	0.0326671
9.87292	0.0307046
9.88921	0.0289496
9.90551	0.0286598
9.9218	0.0303935
9.93809	0.0332652
9.95438	0.0348017
9.97067	0.0295449
9.98697	0.787902
10.0033	0.053531
10.0196	0.0405876
10.0358	0.0341711
10.0521	0.0327753
10.0684	0.0363419
10.0847	0.0437415
10.101	0.0522603
10.1173	0.0585108
10.1336	0.0600993
10.1499	0.0564197
10.1662	0.0491431
10.1825	0.0412654
10.1988	0.0360816
10.2151	0.0356495
10.2313	0.0399375
10.2476	0.0468945
10.2639	0.0533836
10.2802	0.0565575
10.2965	0.0551288
10.3128	0.0499584
10.3291	0.0435275
10.3454	0.0389548
10.3617	0.0382623
10.378	0.0418191
10.3943	0.0480313
10.4106	0.0540624
10.4268	0.0570315
10.4431	0.0565277
10.4594	0.0519006
10.4757	0.0460277
10.492	0.041664
10.5083	0.0409488
10.5246	0.0442091
10.5409	0.0500162
10.5572	0.0557831
10.5735	0.0589342
10.5898	0.0581625
10.6061	0.0539742
10.6224	0.0484839
10.6386	0.0443432
10.6549	0.0435975
10.6712	0.0467116
10.6875	0.0522573
10.7038	0.0577842
10.7201	0.0608263
10.7364	0.0601243
10.7527	0.0561153
10.769	0.0508469
10.7853	0.0468745
10.8016	0.0462053
10.8179	0.049202
10.8341	0.0545651
10.8504	0.059889
10.8667	0.0628147
10.883	0.0621041
10.8993	0.0582558
10.9156	0.0532069
10.9319	0.0494646
10.9482	0.0488836
10.9645	0.0517369
10.9808	0.0571865
10.9971	0.0622782
11.0134	0.0650643
11.0297	0.0645484
11.0459	0.0595393
11.0622	0.0551699
11.0785	0.0517398
11.0948	0.0513663
11.1111	0.0544041
11.1274	0.0595527
11.1437	0.0645155
11.16	0.0671122
11.1763	0.0662511
11.1926	0.0625133
11.2089	0.0578243
11.2252	0.0545705
11.2414	0.0544138
11.2577	0.0576262
11.274	0.0628302
11.2903	0.0677471
11.3066	0.0702252
11.3229	0.0693211
11.3392	0.0656406
11.3555	0.0615392
11.3718	0.0594505
11.3881	0.0623734
11.4044	0.0796418
11.4207	0.0294053
11.437	0.0573972
11.4532	0.0635891
11.4695	0.0639636
11.4858	0.0607989
11.5021	0.0562829
11.5184	0.0531855
11.5347	0.0532117
11.551	0.0566258
11.5673	0.0621114
11.5836	0.0673313
11.5999	0.0701021
11.6162	0.0693498
11.6325	0.0656407
11.6487	0.060874
11.665	0.0574117
11.6813	0.0569962
11.6976	0.05988
11.7139	0.0648001
11.7302	0.0695631
11.7465	0.0720318
11.7628	0.0711697
11.7791	0.0675854
11.7954	0.0627074
11.8117	0.0594717
11.828	0.0591075
11.8442	0.0619438
11.8605	0.0668317
11.8768	0.0713183
11.8931	0.0736119
11.9094	0.0726477
11.9257	0.0689785
11.942	0.0643852
11.9583	0.0611476
11.9746	0.0608086
11.9909	0.0636203
12.0072	0.0683127
12.0235	0.072786
12.0398	0.0749553
12.056	0.0739546
12.0723	0.070295
12.0886	0.0657149
12.1049	0.0626863
12.1212	0.0623835
12.1375	0.0651675
12.1538	0.0697704
12.1701	0.0740663
12.1864	0.0761358
12.2027	0.0750724
12.219	0.071391
12.2353	0.0670027
12.2515	0.0639222
12.2678	0.0636886
12.2841	0.0664443
12.3004	0.0709915
12.3167	0.0750877
12.333	0.0770545
12.3493	0.0759218
12.3656	0.0723205
12.3819	0.0680077
12.3982	0.0650442
12.4145	0.0649635
12.4308	0.0677953
12.4471	0.0723447
12.4633	0.0776241
12.4796	0.0775598
12.4959	0.0764496
12.5122	0.072796
12.5285	0.0684893
12.5448	0.0655547
12.5611	0.0655358
12.5774	0.0684067
12.5937	0.0728745
12.61	0.0768404
12.6263	0.078452
12.6426	0.0769133
12.6588	0.0729292
12.6751	0.068307
12.6914	0.0652104
12.7077	0.065096
12.724	0.0680133
12.7403	0.0725961
12.7566	0.0766951
12.7729	0.0781399
12.7892	0.0757683
12.8055	0.0694787
12.8218	0.0578836
12.8381	0.0363609
12.8543	0.089963
12.8706	0.0809546
12.8869	0.0819318
12.9032	0.0845295
12.9195	0.08585
12.9358	0.0844224
12.9521	0.0806017
12.9684	0.0759674
12.9847	0.0724691
13.001	0.0715835
13.0173	0.0734851
13.0336	0.077185
13.0499	0.0807986
13.0661	0.0825636
13.0824	0.0816429
13.0987	0.0784443
13.115	0.0745058
13.1313	0.0716822
13.1476	0.0713025
13.1639	0.073548
13.1802	0.0773334
13.1965	0.0808136
13.2128	0.0827392
13.2291	0.0813236
13.2454	0.0781643
13.2616	0.0743867
13.2779	0.0719589
13.2942	0.0712473
13.3105	0.0737707
13.3268	0.0775818
13.3431	0.081034
13.3594	0.0824945
13.3757	0.0813268
13.392	0.0781149
13.4083	0.0743183
13.4246	0.071768
13.4409	0.0716491
13.4572	0.0740837
13.4734	0.0778234
13.4897	0.081212
13.506	0.0826226
13.5223	0.0813358
13.5386	0.0781339
13.5549	0.0743919
13.5712	0.0719249
13.5875	0.071867
13.6038	0.074279
13.6201	0.0779878
13.6364	0.0812701
13.6527	0.0825432
13.6689	0.0812944
13.6852	0.0780494
13.7015	0.074379
13.7178	0.0719965
13.7341	0.0720639
13.7504	0.0744535
13.7667	0.0780888
13.783	0.0812559
13.7993	0.0824671
13.8156	0.0812087
13.8319	0.0777687
13.8482	0.0742469
13.8645	0.072007
13.8807	0.0722507
13.897	0.0734232
13.9133	0.0777186
13.9296	0.0807705
13.9459	0.0818456
13.9622	0.0804604
13.9785	0.0772584
13.9948	0.073767
14.0111	0.0715758
14.0274	0.0717049
14.0437	0.074013
14.06	0.0773389
14.0762	0.0800512
14.0925	0.0808533
14.1088	0.0792975
14.1251	0.0761462
14.1414	0.0728657
14.1577	0.0709882
14.174	0.0712892
14.1903	0.0735538
14.2066	0.0761871
14.2229	0.0775121
14.2392	0.0753243
14.2555	0.0639381
14.2717	0.122737
14.288	0.0828458
14.3043	0.0771298
14.3206	0.0766246
14.3369	0.079034
14.3532	0.0826853
14.3695	0.0852898
14.3858	0.0855166
14.4021	0.0830108
14.4184	0.0787058
14.4347	0.0744009
14.451	0.0719014
14.4673	0.072186
14.4835	0.0749956
14.4998	0.0789283
14.5161	0.0820884
14.5324	0.0829557
14.5487	0.0811472
14.565	0.077458
14.5813	0.0735546
14.5976	0.0712496
14.6139	0.0715287
14.6302	0.0741255
14.6465	0.0782916
14.6628	0.08109
14.679	0.0819019
14.6953	0.0801265
14.7116	0.0764323
14.7279	0.0728618
14.7442	0.0706894
14.7605	0.0710412
14.7768	0.0736991
14.7931	0.0773993
14.8094	0.0803205
14.8257	0.0810837
14.842	0.0792931
14.8583	0.0757628
14.8746	0.0721092
14.8908	0.0700027
14.9071	0.0704194
14.9234	0.0730902
14.9397	0.0768125
14.956	0.0794497
14.9723	0.0802105
14.9886	0.0783996
15.0049	0.0749006
15.0212	0.0713795
15.0375	0.0693397
15.0538	0.0697857
15.0701	0.0724745
15.0863	0.0760224
15.1026	0.0788097
15.1189	0.0794396
15.1352	0.0775873
15.1515	0.0740756
15.1678	0.0705699
15.1841	0.0685967
15.2004	0.0690877
15.2167	0.0717441
15.233	0.0752588
15.2493	0.0778157
15.2656	0.078441
15.2819	0.0764973
15.2981	0.0728754
15.3144	0.0681793
15.3307	0.0690326
15.347	0.0691385
15.3633	0.0717563
15.3796	0.0751886
15.3959	0.0777436
