f	spct
333.5	0.38945
334	0.58129
334.5	0.60795
335	0.39836
335.5	0.28712
336	0.33476
336.5	0.33793
337	0.42535
337.5	0.62884
338	0.67451
338.5	0.47133
339	0.33292
339.5	0.3123
340	0.31182
340.5	0.40133
341	0.53783
341.5	0.4624
342	0.34198
342.5	0.39652
343	0.42421
343.5	0.46531
344	0.43755
344.5	0.36762
345	0.36557
345.5	0.43897
346	0.46072
346.5	0.43819
347	0.469
347.5	0.48721
348	0.46057
348.5	0.54565
349	0.72312
349.5	0.76398
350	0.7736
350.5	0.66713
351	0.66776
351.5	0.62547
352	0.5461
352.5	0.55434
353	0.67763
353.5	0.58498
354	0.48816
354.5	0.37781
355	0.26026
355.5	0.27394
356	0.30506
356.5	0.42183
357	0.57923
357.5	0.59833
358	0.4277
358.5	0.34729
359	0.45839
359.5	0.47413
360	0.40709
360.5	0.34886
361	0.32437
361.5	0.42554
362	0.45847
362.5	0.33532
363	0.32557
363.5	0.56573
364	0.73603
364.5	0.70779
365	0.44344
365.5	0.30438
366	0.37531
366.5	0.474
367	0.57796
367.5	0.56328
368	0.44491
368.5	0.33531
369	0.39601
369.5	0.42111
370	0.28578
370.5	0.22574
371	0.36169
371.5	0.50242
372	0.46669
372.5	0.3131
373	0.23997
373.5	0.22113
374	0.30162
374.5	0.48186
375	0.64003
375.5	0.54192
376	0.36007
376.5	0.36306
377	0.43129
377.5	0.42351
378	0.4142
378.5	0.4897
379	0.53674
379.5	0.51857
380	0.38303
380.5	0.21853
381	0.24479
381.5	0.386
382	0.36516
382.5	0.24318
383	0.25395
383.5	0.3291
384	0.33288
384.5	0.33192
385	0.41967
385.5	0.50046
386	0.49252
386.5	0.46945
387	0.4246
387.5	0.44049
388	0.4781
388.5	0.32844
389	0.34766
389.5	0.55424
390	0.62339
390.5	0.52001
391	0.29451
391.5	0.14826
392	0.14211
392.5	0.29127
393	0.4687
393.5	0.42292
394	0.26773
394.5	0.21011
395	0.2516
395.5	0.34173
396	0.34091
396.5	0.28604
397	0.26322
397.5	0.27911
398	0.28179
398.5	0.25877
399	0.30682
399.5	0.44368
400	0.53029
400.5	0.45139
401	0.38716
401.5	0.34716
402	0.31041
402.5	0.31797
403	0.2575
403.5	0.25975
404	0.32235
404.5	0.34742
405	0.44534
405.5	0.54596
406	0.4006
406.5	0.3775
407	0.38898
407.5	0.24443
408	0.18595
408.5	0.21054
409	0.30832
409.5	0.37147
410	0.3851
410.5	0.38379
411	0.34661
411.5	0.29214
412	0.37496
412.5	0.50556
413	0.40623
413.5	0.31782
414	0.37137
414.5	0.49866
415	0.44398
415.5	0.26579
416	0.15986
416.5	0.12743
417	0.13469
417.5	0.23146
418	0.34663
418.5	0.3596
419	0.30698
419.5	0.279
420	0.32112
420.5	0.2894
421	0.33259
421.5	0.5013
422	0.55609
422.5	0.40473
423	0.31186
423.5	0.22523
424	0.20122
424.5	0.2778
425	0.34568
425.5	0.27241
426	0.24157
426.5	0.3686
427	0.42389
427.5	0.3774
428	0.31306
428.5	0.32113
429	0.34503
429.5	0.33221
430	0.30465
430.5	0.31312
431	0.20012
431.5	0.11241
432	0.1768
432.5	0.26822
433	0.24809
433.5	0.20129
434	0.29051
434.5	0.36336
435	0.2749
435.5	0.24468
436	0.3119
436.5	0.3725
437	0.46321
437.5	0.49094
438	0.40899
438.5	0.40442
439	0.4478
439.5	0.37601
440	0.26722
440.5	0.2676
441	0.30747
441.5	0.26871
442	0.27023
442.5	0.27097
443	0.2047
443.5	0.21283
444	0.28715
444.5	0.36438
445	0.35746
445.5	0.29851
446	0.34696
446.5	0.42931
447	0.38406
447.5	0.31067
448	0.21448
448.5	0.20146
449	0.30609
449.5	0.42943
450	0.34444
450.5	0.27443
451	0.36815
451.5	0.38811
452	0.36721
452.5	0.29596
453	0.27028
453.5	0.32522
454	0.40269
454.5	0.36719
455	0.30884
455.5	0.32155
456	0.35579
456.5	0.39472
457	0.31035
457.5	0.1934
458	0.14343
458.5	0.1865
459	0.31182
459.5	0.33129
460	0.27471
460.5	0.27439
461	0.26296
461.5	0.24405
462	0.2681
462.5	0.26447
463	0.26506
463.5	0.27284
464	0.27605
464.5	0.24622
465	0.30582
465.5	0.41405
466	0.37254
466.5	0.36225
467	0.40386
467.5	0.35044
468	0.24607
468.5	0.23888
469	0.25176
469.5	0.22058
470	0.23288
470.5	0.29407
471	0.29689
471.5	0.21912
472	0.19013
472.5	0.26078
473	0.38985
473.5	0.36577
474	0.29753
474.5	0.41182
475	0.56236
475.5	0.45316
476	0.32763
476.5	0.28203
477	0.30763
477.5	0.39507
478	0.37588
478.5	0.33229
479	0.2864
479.5	0.22918
480	0.28725
480.5	0.37458
481	0.31644
481.5	0.25748
482	0.18969
482.5	0.16518
483	0.24745
483.5	0.29954
484	0.30635
484.5	0.24077
485	0.15849
485.5	0.10627
486	0.1117
486.5	0.18807
487	0.26213
487.5	0.2314
488	0.19312
488.5	0.18617
489	0.19867
489.5	0.21762
490	0.30519
490.5	0.44174
491	0.49821
491.5	0.43733
492	0.3606
492.5	0.29192
493	0.30759
493.5	0.31573
494	0.32267
494.5	0.29232
495	0.24178
495.5	0.3238
496	0.38873
496.5	0.33173
497	0.26267
497.5	0.31028
498	0.3552
498.5	0.29087
499	0.28644
499.5	0.36775
500	0.37706
500.5	0.32572
501	0.31492
501.5	0.29569
502	0.30009
502.5	0.31841
503	0.33033
503.5	0.30135
504	0.26924
504.5	0.3067
505	0.34319
505.5	0.24047
506	0.22184
506.5	0.31265
507	0.31673
507.5	0.28235
508	0.25156
508.5	0.23969
509	0.22774
509.5	0.21336
510	0.32077
510.5	0.35836
511	0.24493
511.5	0.20292
512	0.22591
512.5	0.20848
513	0.1815
513.5	0.22719
514	0.26811
514.5	0.2547
515	0.28119
515.5	0.2645
516	0.18022
516.5	0.12232
517	0.18173
517.5	0.2604
518	0.22934
518.5	0.20605
519	0.25602
519.5	0.25312
520	0.22453
520.5	0.20638
521	0.19069
521.5	0.15937
522	0.17291
522.5	0.30005
523	0.39423
523.5	0.39116
524	0.288
524.5	0.18026
525	0.17535
525.5	0.21668
526	0.20883
526.5	0.16026
527	0.16287
527.5	0.21556
528	0.30108
528.5	0.37897
529	0.32637
529.5	0.24226
530	0.24356
530.5	0.25648
531	0.26283
531.5	0.24728
532	0.20496
532.5	0.12876
533	0.12981
533.5	0.22463
534	0.3603
534.5	0.43297
535	0.30613
535.5	0.18101
536	0.219
536.5	0.31321
537	0.31073
537.5	0.30166
538	0.29321
538.5	0.27343
539	0.28304
539.5	0.23475
540	0.20222
540.5	0.24314
541	0.28876
541.5	0.25768
542	0.16024
542.5	0.11394
543	0.14373
543.5	0.17753
544	0.16386
544.5	0.12104
545	0.15698
545.5	0.24226
546	0.20713
546.5	0.11492
547	0.088593
547.5	0.091147
548	0.096482
548.5	0.13228
549	0.16098
549.5	0.16006
550	0.21428
550.5	0.27454
551	0.18684
551.5	0.10195
552	0.090897
552.5	0.16671
553	0.27032
553.5	0.29451
554	0.24727
554.5	0.20347
555	0.22251
555.5	0.26451
556	0.21503
556.5	0.13934
557	0.16021
557.5	0.17253
558	0.12505
558.5	0.11934
559	0.14833
559.5	0.11964
560	0.11195
560.5	0.13039
561	0.13841
561.5	0.18384
562	0.26289
562.5	0.30212
563	0.29403
563.5	0.29406
564	0.2714
564.5	0.26288
565	0.2632
565.5	0.16851
566	0.10333
566.5	0.12339
567	0.15473
567.5	0.1402
568	0.15035
568.5	0.16939
569	0.194
569.5	0.20823
570	0.1957
570.5	0.20297
571	0.21
571.5	0.24136
572	0.22801
572.5	0.1894
573	0.17126
573.5	0.19355
574	0.15266
574.5	0.1387
575	0.14999
575.5	0.17923
576	0.21606
576.5	0.1885
577	0.14153
577.5	0.16596
578	0.15321
578.5	0.098744
579	0.07751
579.5	0.095746
580	0.12305
580.5	0.21036
581	0.25349
581.5	0.23339
582	0.2267
582.5	0.21258
583	0.20534
583.5	0.20318
584	0.22725
584.5	0.255
585	0.23845
585.5	0.19055
586	0.19943
586.5	0.27662
587	0.2567
587.5	0.19516
588	0.2145
588.5	0.21936
589	0.23469
589.5	0.28941
590	0.30379
590.5	0.18143
591	0.084374
591.5	0.070188
592	0.10478
592.5	0.19959
593	0.29943
593.5	0.3392
594	0.31509
594.5	0.22016
595	0.12842
595.5	0.14086
596	0.16208
596.5	0.15294
597	0.18233
597.5	0.16083
598	0.12206
598.5	0.17392
599	0.23051
599.5	0.2113
600	0.18384
600.5	0.14701
601	0.10996
601.5	0.1109
602	0.15275
