f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7	sumEta	sumEtaSq
3.99667	0.004751607466352841	0.003446344176534034	0.0003360660312049379	0.00022568563226308167	0.00034474194547458586	0.001016496253043873	0.01248969635587299	0.005854720732244773	0.028465358592991118	0.0002260413176352756
4.32973	0.003859256878998609	0.0037674511520794213	0.00033474267859969056	0.0002154653044861139	0.0003859737249273798	0.0011102693282017417	0.015502055792252155	0.007278970766854875	0.032454185626399984	0.00032392485270802237
4.66278	0.003469294761099818	0.0036914995092031757	0.0003755414998637147	0.00020264455694302683	0.000444717472128776	0.001220893769078377	0.0155853	0.008249201864306426	0.033239093432623316	0.00033848453371388803
4.99584	0.0037868420875147107	0.0037157512830369452	0.0004574880317764569	0.0001926224014425554	0.0004828876173691401	0.0012959131534112014	0.013515084310224362	0.008508251539996948	0.03195484042477232	0.00028535379881444543
5.32889	0.004355838706750829	0.00417937392328875	0.0005286305212824886	0.00018643438011917604	0.00048511437027107707	0.001323640889636386	0.011639992398105736	0.008700576865435678	0.03139960205489012	0.0002499315272122913
5.66195	0.004556368635925966	0.00468025510026068	0.0005860637816445679	0.00017657044704635813	0.00047806318745192137	0.0012902092587807998	0.010680990086173433	0.009366540441324584	0.03181506093860831	0.0002467487442314361
5.995	0.004160447926821439	0.004732820744541722	0.0006331159142106003	0.00016647627668678856	0.0004950000415915589	0.0011672959517520327	0.009869359060631938	0.010040977692049443	0.031265493608285524	0.0002399705554233481
6.32806	0.003570981538889484	0.004309577458730452	0.0006684235199416172	0.00018691640658481817	0.0005448391936289425	0.0009791660109785794	0.00865997882152007	0.009747528820387609	0.028667411770661573	0.00020307126188638197
6.66112	0.003341402120894405	0.003774130708716493	0.0006715544229416523	0.00022884429860118788	0.000594977984689484	0.000770991570927401	0.006930136759102553	0.008071245350221273	0.02438328321609445	0.0001400326096040085
6.99417	0.00345132130565957	0.0035210978280918	0.0005946646634324553	0.0002483103881057226	0.0005837644775365398	0.000589899462875067	0.005153606956913283	0.0058114087625209835	0.01995407384513542	8.574593159365337E-05
7.32723	0.003655877896651332	0.0034552334734602357	0.0005031427865112722	0.00023294967122568607	0.00048171322571385927	0.0005789460751578686	0.004414491961183138	0.0039872797529070655	0.017309634842810458	6.156486505734787E-05
7.66028	0.0040525529265004814	0.0033537766960850877	0.0004871017627492702	0.00019970035821449748	0.0003838085913406891	0.0008118630643443806	0.004688326686437388	0.002828198751228445	0.01680532883690024	5.8733697674880157E-05
7.99334	0.004613165189258586	0.0033280802856613854	0.0005209349316023634	0.0001730585399395371	0.0004187322444228848	0.001207355683767386	0.005698211213725642	0.0027111555336487105	0.018670693622026495	7.411175371591227E-05
8.32639	0.004964363903712421	0.0036261334786914833	0.0005403192258159533	0.00016635432451663702	0.0005463240983041896	0.0015476608506335382	0.00660103175172735	0.003732471585899588	0.02172465921930116	9.831206005667382E-05
