f	eta0	eta1	eta2	eta3	eta4	eta5	eta6	eta7
971.524	929.826	707.229	424.962	789.72	33.2905	152.117	176.397	47.7701
971.857	930.003	708.461	424.957	790.106	33.3281	153.003	176.561	48.0037
972.19	930.166	709.156	424.761	791.467	33.6855	153.828	176.658	48.3093
972.523	929.993	709.784	424.244	793.833	34.1347	154.07	176.753	48.9742
972.856	929.737	709.495	423.567	795.991	34.4417	153.554	176.851	49.8019
973.189	929.895	709.866	423.424	796.707	34.0504	151.51	176.925	49.9342
973.522	930.484	709.964	423.755	796.139	33.0775	148.62	176.801	48.8109
973.855	930.889	709.983	424.492	794.868	32.1321	146.703	176.538	47.3259
974.188	931.136	710.176	425.185	793.836	31.8907	146.881	176.119	46.9242
974.521	931.046	710.567	425.059	794.235	32.3731	148.718	175.671	47.5052
974.854	930.426	709.621	424.216	795.309	32.8232	150.295	175.426	48.2672
975.187	929.442	707.152	423.513	795.406	32.7686	150.549	175.477	48.4161
975.52	928.62	704.945	423.77	793.68	32.4845	150.234	175.664	48.2835
975.853	928.747	704.621	425.059	791.233	32.2952	149.83	175.789	48.5851
976.187	929.646	706.713	426.21	790.445	32.1574	149.307	175.713	48.7167
976.52	930.742	708.908	426.259	791.639	32.0293	148.623	175.442	47.8728
976.853	931.294	710.352	425.662	793.331	31.7087	147.89	175.244	46.2813
977.186	931.655	710.654	425.165	793.822	31.4468	147.554	175.105	45.3843
977.519	932.008	711.455	425.261	792.955	31.3446	147.357	175.047	45.7422
977.852	932.433	711.952	425.181	792.382	31.5595	147.428	175.133	46.5235
978.185	932.688	713.149	424.626	792.812	32.1956	148.085	175.347	46.2081
978.518	932.84	713.283	423.911	793.685	33.1669	149.325	175.449	44.9219
978.851	932.507	712.916	423.537	794.74	33.5165	150.447	175.384	43.6376
979.184	932.299	711.976	423.609	795.155	33.0427	151.028	175.123	43.5872
979.517	932.114	712.013	424.122	795.083	32.2423	150.978	175.13	45.0857
979.85	932.006	711.881	424.706	794.7	31.9608	150.922	175.464	47.1944
980.183	932.139	712.78	425.392	793.666	32.4913	151.509	175.803	48.7151
980.516	932.563	713.818	425.515	793.049	33.1271	151.839	175.96	49.606
980.849	932.932	714.846	425.01	793.522	32.8627	150.209	175.945	49.6379
981.182	933.307	714.92	424.592	793.651	31.9944	147.332	175.686	48.7042
981.515	933.258	714.287	424.862	792.722	31.3866	145.45	175.426	47.096
981.848	932.802	713.009	425.675	791.045	31.7585	146.286	175.355	45.4032
982.182	932.29	712.237	426.39	789.696	32.8329	149.218	175.396	44.5185
982.515	931.723	712.311	426.237	790.29	33.8289	151.682	175.51	45.0779
982.848	931.181	712.396	425.381	792.292	34.4524	152.532	175.533	46.4476
983.181	930.918	712.537	424.639	793.901	34.6615	152.592	175.53	47.694
983.514	930.991	712.102	424.219	794.78	34.5864	152.61	175.934	48.1912
983.847	931.338	712.227	424.248	794.917	34.1819	152.213	176.626	47.9979
984.18	931.81	712.757	424.212	794.711	33.8462	151.79	176.86	47.8575
984.513	931.679	713.543	423.917	794.733	33.9028	151.819	176.391	48.0185
984.846	931.38	712.898	423.849	794.383	34.1468	152.013	175.465	47.9417
985.179	931	711.726	424.288	793.795	34.0312	151.76	174.716	46.7568
985.512	930.915	710.1	424.519	793.813	33.6371	151.009	174.574	45.2409
985.845	931.141	710.512	424.639	794.087	33.1149	150.535	174.939	44.6148
986.178	931.25	710.687	424.547	794.029	32.7379	151.191	175.326	44.988
986.511	930.966	710.837	424.492	793.617	32.3948	152.075	175.531	45.2076
986.844	931.064	710.621	424.632	792.718	32.193	152.295	175.52	45.3688
987.177	931.067	710.233	424.952	791.737	32.2002	151.747	175.532	46.1475
987.51	931.036	709.019	425.312	790.789	32.5445	151.092	175.662	48.1193
987.843	930.579	707.69	425.852	789.725	32.8227	150.832	175.849	50.1266
988.177	929.785	705.789	426.115	789.436	32.8074	150.555	175.945	51.0176
988.51	929.275	705.323	425.976	790.425	32.5704	149.798	176.041	50.9905
988.843	929.316	705.747	425.657	791.417	32.4342	148.876	176.286	50.8128
